"feature","p"
"manuscript_dnaseq",0.000346422527416316
"manuscript_rnaseq",0.00833522816177245
"manuscript_inhibitor",0.00668884947753815
"consensus_sex",0.518334793414767
"inferred_sex",0.577242275772423
"reportedRace",0.0001999800019998
"reportedEthnicity",0.0056994300569943
"inferred_ethnicity",NA
"centerID",0.287768338089365
"CEBPA_Biallelic",0.310668933106689
"consensusAMLFusions",0.0285971402859714
"ageAtDiagnosis",0.4681145223419
"isRelapse",9.99900009999e-05
"isDenovo",9.99900009999e-05
"isTransformed",9.99900009999e-05
"specificDxAtAcquisition_MDSMPN",0.718767604517769
"nonAML_MDSMPN_specificDxAtAcquisition",1.44473098254482e-11
"priorMalignancyNonMyeloid",0.113128343478873
"priorMalignancyType",0.782721727827217
"cumulativeChemo",0.000200004756581775
"priorMalignancyRadiationTx",0.163775702926254
"priorMDS",0.999999999999999
"priorMDSMoreThanTwoMths",0.828454475685828
"priorMDSMPN",0.729608860278478
"priorMDSMPNMoreThanTwoMths",0.558285157549719
"priorMPN",0.394371276277837
"priorMPNMoreThanTwoMths",0.476471272246591
"dxAtInclusion",0.35986401359864
"specificDxAtInclusion",0.000999900009999
"ELN2017",0.239076092390761
"dxAtSpecimenAcquisition",0.509449055094491
"specificDxAtAcquisition",0.0047995200479952
"ageAtSpecimenAcquisition",0.355337254113401
"timeOfSampleCollectionRelativeToInclusion",0.126187760668834
"specimenGroups",9.99900009999e-05
"diseaseStageAtSpecimenCollection",9.99900009999e-05
"specimenType",0.519004926855049
"rnaSeq",1.44473098254482e-11
"exomeSeq",0.00240100308598866
"totalDrug",1.44473098254482e-11
"analysisRnaSeq",1.44473098254482e-11
"analysisExomeSeq",0.00240100308598866
"analysisDrug",1.44473098254482e-11
"cumulativeTreatmentTypeCount",0.0142720347811713
"cumulativeTreatmentRegimenCount",0.0017376163114813
"cumulativeTreatmentStageCount",0.00021015674873969
"responseToInductionTx",0.748025197480252
"mostRecentTreatmentType",9.99900009999e-05
"currentRegimen",9.99900009999e-05
"currentStage",9.99900009999e-05
"mostRecentTreatmentDuration",0.299972480084549
"vitalStatus",0.000502547350590038
"overallSurvival",3.44594801986145e-06
"causeOfDeath",9.99900009999e-05
