"feature","p"
"[HM] Hypoxia",4.18550705513232e-05
"[HM] Mitotic spindle",0.0232614259989905
"[HM] Wnt beta catenin signaling",0.308612806271326
"[HM] TGF beta signaling",0.0845996595561558
"[HM] DNA repair",0.625777147032228
"[HM] G2M checkpoint",0.164990965131022
"[HM] Apoptosis",0.00402018649642412
"[HM] Notch signaling",0.0752414251783069
"[HM] Hedgehog signaling",0.0179677222138023
"[HM] PI3K Akt mTOR signaling",0.130552311681914
"[HM] mTORC1 signaling",0.0163724348590686
"[HM] E2F targets",0.51672275261986
"[HM] Epithelial mesenchymal transition",0.00210368768071393
"[HM] Oxidative phosphorylation",0.339790174510732
"[HM] Glycolysis",0.236995395582335
"[HM] Reactive oxigen species pathway",0.0653951734204676
"[HM] p53 pathway",0.00104967873634095
"[HM] UV response up",0.0207499541038268
"[HM] UV response down",0.00137786427868208
"[HM] Angiogenesis",0.00683358926245659
"[HM] KRAS signaling up",0.00373405305873423
"[HM] KRAS signaling down",0.00271590398440414
"[HM] Myc targets",0.736780610151754
"[HM] Estrogen response",0.000216844160028237
"[IPA] ERK MAPK Signaling",0.438754856539638
"[IPA] HMGB1 Signaling",0.0336981392599084
"[IPA] ErbB Signaling",0.210943096190376
"[IPA] PTEN Signaling",0.460367971706291
"[IPA] PI3K AKT Signaling",0.0906059667722503
"[IPA] HER 2 Signaling in Breast Cancer",0.108533700006336
"[IPA] mTOR Signaling",0.177611581803866
"[IPA] AMPK Signaling",0.912891831561529
"[IPA] p38 MAPK Signaling",0.662586820532602
"[IPA] Myc Mediated Apoptosis Signaling",0.450404108001882
"[IPA] EGF Signaling",0.859330287804163
"[IPA] VEGF Signaling",0.25362668841488
"[IPA] Estrogen Dependent Breast Cancer Signaling",0.967826558415136
"[IPA] TNFR1 Signaling",0.681309284357333
"[IPA] ErbB2 ErbB3 Signaling",0.789891702623894
"[IPA] UVC Induced MAPK Signaling",0.41214083545648
"[IPA] UVA Induced MAPK Signaling",0.87567955921087
"[IPA] UVB Induced MAPK Signaling",0.342269330592529
"[IPA] ERK5 Signaling",0.216116612399555
"[IPA] Mismatch Repair in Eukaryotes",0.904172658457069
"[IPA] Telomere Extension by Telomerase",0.773000915421908
"[TBI] Barrier genes",0.0723812687470528
"[TBI] MAPK up genes",0.0707464261536795
"[TBI] Phopholipase",0.0847099280311577
"[LM] Proliferation",0.230516044781829
"[TPW] PI3Kgamma Signature",3.57029871552259e-05
"[TPW] NOS1 Signature",0.498324493977818
"[TPW] SHC1/pSTAT3 Signature",0.00419480217582345
"[TPW] Hypoxia/Adenosine Immune Cell Suppression",0.28568367131788
"[TPW] Immunogenic Cell Death (ICD)",0.337630381736731
"HSC-like",0.561942099241223
"Progenitor-like",0.729419583437769
"GMP-like",0.190109359233091
"Promono-like",0.0767566387002179
"Monocyte-like",0.375216281717883
"cDC-like",0.692097570966621
