CID,MolecularWeight,CanonicalSMILES,InChIKey,XLogP,Name,Targets
2735853,148.16,C1=CN(C(=C1)C=O)CCC#N,SUUQLYBKCBUSAR-UHFFFAOYSA-N,0.1,Axitinib (AG-013736),"VEGFR-1 (vascular endothelial growth factor receptor), VEGFR-2, and VEGFR-3"
10366136,443.5,CC1(COC1)COC2=CC3=C(C=C2)N(C=N3)C4=NC5=C(C=CC=C5N6CCC(CC6)N)C=C4,DYNHJHQFHQTFTP-UHFFFAOYSA-N,3.7,Crenolanib,"Tyrosine-protein kinase receptor FLT3, Platelet-derived growth factor receptor"
3102,182.22,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,RWCCWEUUXYIKHB-UHFFFAOYSA-N,3.4,Crizotinib (PF-2341066),"ALK, MET, ROS1, MST1R, CYP3A4, CYP3A5, CYP2B6"
3111,311.36,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O,LVWZTYCIRDMTEY-UHFFFAOYSA-N,0,Dasatinib,"ABL1, SRC, EPHA2, LCK, YES1, KIT, PDGFRB, STAT5B, ABL2, FYN, BTK, NR4A3, BCR, CSK, EPHA5, EPHB4, FGR, FRK, HSPA8, LYN, ZAK, MAPK14, PPAT"
176870,393.4,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,AAKJLRGGTJKAMG-UHFFFAOYSA-N,3.3,Erlotinib,"NR1I2, EGFR"
3154,324.4,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,IAVUPMFITXYVAF-UHFFFAOYSA-N,0.4,Gefitinib,EGFR
3431,721.8,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,UVBUBMSSQKOIBE-UHFFFAOYSA-N,-0.5,Ibrutinib (PCI-32765),BTK
3428,273.42,C(CC(CNCCCNCCCN)N)CN=C(N)N,NEFHYROACNTRNJ-UHFFFAOYSA-N,-2.6,Imatinib,"BCR, KIT, RET, NTRK1, CSF1R, PDGFRA, DDR1, ABL1, PDGFRB, DDR2, CYP3A4"
208908,581.1,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,BCFGMOOMADDAQU-UHFFFAOYSA-N,5.1,Lapatinib,"EGFR, ERBB2"
3353,941.2,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CCOC(=O)NCC4=CC=CC=C4)O)C)C(=CC5CCC(C(C5)OC)O)C)O)C)OC)OC,JEQCTALUECDHLT-UHFFFAOYSA-N,3.2,Nilotinib,"ABL1, KIT"
10113978,437.5,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,CUIHSIWYWATEQL-UHFFFAOYSA-N,3.1,Pazopanib (GW786034),"FLT1, KDR, FLT4, PDGFRA, PDGFRB, KIT, FGFR3, ITK, FGF1, SH2B3"
3302,288.5,CCC1(CCC2C1(CCC3C2CCC4=CCCCC34)C)O,AOXRBFRFYPMWLR-UHFFFAOYSA-N,5.1,Ponatinib (AP24534),"ABL1, BCR, KIT, RET, TEK, FLT3, FGFR1, FGFR2, FGFR3, FGFR4, LCK, SRC, LYN, KDR, PDGFRA"
3295,258.3,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,OUZWUKMCLIBBOG-UHFFFAOYSA-N,2,Quizartinib (AC220),FLT3
3270,476.6,CC(=O)OC1CC2C3CCC4=C(C3CCC2(C1OC(=O)C)C)C=CC(=C4)OC(=O)C5=CC=CC=C5,VQHGRIUWSVCJPX-UHFFFAOYSA-N,5.4,Ruxolitinib (INCB018424),"JAK2, JAK1, JAK3, TYK2, "
7524,116.16,C1CCOC(C1)CO,ROTONRWJLXYJBD-UHFFFAOYSA-N,0.3,Sorafenib,"BRAF, RAF1, FLT4, KDR, FLT1,  FLT3, PDGFRB, KIT, FGFR1, RET "
3086686,398.5,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,WINHZLLDWRZWRT-UHFFFAOYSA-N,2.6,Sunitinib,"PDGFRB, FLT1, KIT, KDR, FLT4, FLT3, CSF1R, PDGFRA, MET"
93860,384.2,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,GXJABQQUPOEUTA-NVXWUHKLSA-N,2,Bortezomib (Velcade),"PSMB5, PSMB1"
5040,914.2,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,QFJCIRLUMZQUOT-UHFFFAOYSA-N,6,Rapamycin,MTOR
3081361,475.4,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,UHTHHESEBZOYNR-UHFFFAOYSA-N,4.9,Vandetanib (ZD6474),"VEGFA, EGFR, PTK6, TEK, RET"
447983,513.6,CCC1(CC(C2=C(C3=C(C4=C(C=CC=C4O)C(=C3C=C2C1)O)O)O)OC5CC(C(C(O5)C)O)N(C)C)O,TVYXBCHESACMHF-NWJGULHDSA-N,3.8,AKT Inhibitor IV,"GMNN, 	EHMT2, POLK, 	TMPRSS15, UBE2N,  ATAD5, SMAD3, KDM4A, FEN1, ATXN2, USP2"
447983,513.6,CCC1(CC(C2=C(C3=C(C4=C(C=CC=C4O)C(=C3C=C2C1)O)O)O)OC5CC(C(C(O5)C)O)N(C)C)O,TVYXBCHESACMHF-NWJGULHDSA-N,3.8,AKT Inhibitor X,AKT
16078949,257.24,C1=CN(C(=C1C(=O)N)N)C2C(C(C(O2)CO)O)O,QJVAIRVBURSSBY-DAGMQNCNSA-N,-1.9,AMPK Inhibitor,AMPK
11409972,529.6,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F,ODPGGGTTYSGTGO-UHFFFAOYSA-N,3.8,AST-487,"MAPK14, TYRO3, FLT3, RET. KDR, KIT, NTRK3, MAPK10, FLT1, JAK2, CAMKK2, RET, ROS1, ROCK2, ABL1, NTRK1, PRKACA, CLK2, MAP4K4, NTRK2, FGFR1, DAPK3, MELK, LTK, FLT3, LRRK2, FYN, FLT3, PDGFRB, KDR, CSF1R, MAP4K2, PDGFRA, CDK8, TAOK1, AURKA, CLK4, LCK, "
16007391,507.6,CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO,QYZOGCMHVIGURT-UHFFFAOYSA-N,3,AZD1152-HQPA (AZD2811),"AURKA, AURKB, BLK, BTK, CHEK2, CSNK1D, EGFR, EIF2S1, ERBB4, FLT1, FLT3, FLT4, KDR, LCK, LYN, MAP4K2, MAP4K4, MAP4K5, MST1R, PAK1, PDGFRA, PDGFRB, RET"
3012,459.6,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=CC=C4)C5=CC=C(C=C5)F)CC3,MFVJXLPANKSLLD-UHFFFAOYSA-N,5.1,Alisertib (MLN8237),"ABCB1, ABCC1, ABCG2, ABL1, AURKA, AURKB, BLK, BRSK1, BTK, CCNE1, CDK8, CLK4, CSNK2A1, CYP2C19, CYP2C9, CYP2C8, CYP2D6, CYP3A4, EGFR, EPHA2, ERBB2, ERBB4, FER, FGFR1, FGFR3, FLT1, FRK, GRK5, KDR, LCK, LIMK1, LRRK2, LTK, MYC, MYCN, NTRK1, NTRK2, NTRK3, PARP1, PDPK1, PIM3, PLK4, PRKACA, PTK2, RET, ROS1, RPS6KA3, SLK, SRC, SRPK1, TNK2, YES1"
25062766,414.5,C1COCCN1C2=CC=C(C=C2)NC3=NC=CC(=N3)C4=CC=C(C=C4)C(=O)NCC#N,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,2.6,CYT387,"ACVR1, AKT1, APAF1, BAD, BAX, BCL2, CASP3, CCND1, EIF4E, EIF4EBP3, JAK1, JAK2, JAK3, MTOR, RPS6KB1, TYK2, YES1"
60953,359.35,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,GAGWJHPBXLXJQN-UORFTKCHSA-N,0.6,Canertinib (CI-1033),"AIFM1, AKT1, BMX, CCND1, CDK4, CXCL8, EGF, EGFR, ENDOG, ERBB2, ERBB4, MAPK1, MAPK3, MTOR, RB1, TGFB1, VEGFA, YES1"
