"feature","p_value","q_value","method","beta","r_squared"
"AUC_.HM..Glycolysis",1.56362473787811e-05,0.000186568860769547,"linear_regression (continuous/count feature)",-1.75365439955549,0.113754551972278
"GAS7",3.66712255126978e-08,1.01328386285086e-06,"linear_regression (continuous/count feature)",-0.026523421003499,0.178169758414513
"WAS",8.8421270622474e-07,1.60072989919996e-05,"linear_regression (continuous/count feature)",-0.0497239904761042,0.144783685925698
"CD74",7.66537266833494e-09,2.59633590379087e-07,"linear_regression (continuous/count feature)",-0.0210903164978914,0.194181717546682
"FAS",3.66514849794714e-06,5.131207897126e-05,"linear_regression (continuous/count feature)",-0.0261356230412961,0.12952432352238
"CTNNA1",1.84586802448196e-05,0.000208404454376995,"linear_regression (continuous/count feature)",-0.0257643543956699,0.111938607662709
"SMARCD1",4.46575965997987e-07,8.71499101960217e-06,"linear_regression (continuous/count feature)",0.0521652695388141,0.152040617873922
"PRKACA",3.8621953360508e-07,7.95157863304576e-06,"linear_regression (continuous/count feature)",-0.0374738032039021,0.153576898370286
"TFRC",1.1118851252755e-06,1.94579896923212e-05,"linear_regression (continuous/count feature)",0.0244378595402706,0.142338777271289
"FCGR2B",3.1466560932721e-15,4.71998413990816e-13,"linear_regression (continuous/count feature)",-0.0174775919443542,0.331263202209761
"PICALM",1.35518213484119e-06,2.26589542281646e-05,"linear_regression (continuous/count feature)",-0.0478759550490167,0.140222852309038
"ARHGEF10L_x",1.77209090770553e-16,4.65173863272701e-14,"linear_regression (continuous/count feature)",-0.013558545946983,0.355349730297685
"PTPRC",1.92320646705598e-08,6.31052122002744e-07,"linear_regression (continuous/count feature)",-0.0387642203515435,0.18480509105301
"KAT6A",4.48199538150969e-07,8.71499101960217e-06,"linear_regression (continuous/count feature)",0.0603482589347408,0.152002193725256
"CD209",1.31064330240761e-07,3.20040806401858e-06,"linear_regression (continuous/count feature)",-0.010481443120896,0.16494028167879
"MAP3K1",3.38235324581597e-05,0.000344803000787065,"linear_regression (continuous/count feature)",-0.0264320345704243,0.105291550581344
"JAK2_x",9.00817642499654e-12,6.07745633869006e-10,"linear_regression (continuous/count feature)",-0.0547821106554664,0.260040179001532
"ABL1",1.35953725368988e-06,2.26589542281646e-05,"linear_regression (continuous/count feature)",0.0453434051852172,0.140188510552213
"SMARCB1",7.87706293775112e-08,1.99201790292532e-06,"linear_regression (continuous/count feature)",0.0571274379008792,0.170249996813951
"PATZ1",2.96882890938788e-05,0.00030864062919379,"linear_regression (continuous/count feature)",0.0363061588628748,0.106725350051028
