"feature","p_value","q_value","method","beta","r_squared"
"GAS7",2.01416710096935e-09,1.14428508635334e-07,"linear_regression (continuous/count feature)",-0.0314039622203614,0.11680700408995
"CD74",8.20145778691157e-10,5.68634406559202e-08,"linear_regression (continuous/count feature)",-0.0297413330538921,0.122134622278296
"FCGR2B",1.8237460201203e-09,1.13801751655507e-07,"linear_regression (continuous/count feature)",-0.0167380779193043,0.117397173367319
"ARHGEF10L_x",4.26081589113828e-13,8.86249705356762e-11,"linear_regression (continuous/count feature)",-0.0143160802181798,0.165905157022131
"KAT6A",8.54976739297079e-09,4.26804388257102e-07,"linear_regression (continuous/count feature)",0.068048319400589,0.108180443020588
"ARHGAP5",3.68519023811105e-10,2.87444838572662e-08,"linear_regression (continuous/count feature)",0.0207795760568727,0.126856069010336
"TFEB",6.19598993887915e-09,3.22191476821716e-07,"linear_regression (continuous/count feature)",-0.0287876612172166,0.110107536428065
"CCND2",6.92478136520738e-11,5.76141809585254e-09,"linear_regression (continuous/count feature)",0.0288908441298559,0.136654249993188
"MAX",1.4836874318754e-12,1.86566300659192e-10,"linear_regression (continuous/count feature)",0.0853323537395636,0.158818907238787
"SPECC1",2.0271304247588e-08,9.03520989321066e-07,"linear_regression (continuous/count feature)",-0.040075522445725,0.102998062414133
"KLF4",2.74888788587022e-11,2.4504372011186e-09,"linear_regression (continuous/count feature)",-0.0199608906019725,0.142028800335638
"IDH1_x",1.5598889818128e-08,7.48746711270145e-07,"linear_regression (continuous/count feature)",-0.0301948187808987,0.104573282391538
"ARHGAP26",2.01716922273826e-09,1.14428508635334e-07,"linear_regression (continuous/count feature)",-0.0373426144309523,0.116798150944087
"HOOK3",1.49492228092301e-12,1.86566300659192e-10,"linear_regression (continuous/count feature)",-0.0739326731581744,0.158775897567884
"CSF1R",1.73262502359944e-11,1.66332002265547e-09,"linear_regression (continuous/count feature)",-0.0211735582716499,0.144702905421548
"FAT4",5.4170308998562e-10,3.97673797824738e-08,"linear_regression (continuous/count feature)",0.0189496433403283,0.124585138101903
"VCAN",1.76056912269006e-12,1.99744569556109e-10,"linear_regression (continuous/count feature)",-0.0125985404853828,0.157842878582914
"DSG2",1.9141639325963e-08,8.84769106622292e-07,"linear_regression (continuous/count feature)",0.00922440463164556,0.103342977396688
"PHACTR3",2.7757827026253e-08,1.11747639125044e-06,"linear_regression (continuous/count feature)",-0.0103353834090808,0.101105653427528
"LGALS2",6.74891082161639e-18,8.42264070537726e-15,"linear_regression (continuous/count feature)",-0.0160162180618126,0.22632274064975
"PRLR",2.25242212503485e-09,1.22218383132326e-07,"linear_regression (continuous/count feature)",-0.0102253954905506,0.116142250368862
"CDC42BPA",4.8859733379591e-17,3.04884736288648e-14,"linear_regression (continuous/count feature)",0.0155667124185665,0.215812722729206
"CSPG4",1.18921171629124e-12,1.85517027741433e-10,"linear_regression (continuous/count feature)",-0.0124592661441165,0.160079405499001
"CD300E",1.8439736736884e-13,4.60255828952624e-11,"linear_regression (continuous/count feature)",-0.0136775720328492,0.170631793664047
"X.TPW..Immunogenic.Cell.Death..ICD.",2.64360185834345e-08,1.09973837307088e-06,"linear_regression (continuous/count feature)",-0.448227806736648,0.101399604742345
"cDC.like",6.82916774497478e-16,2.84093378190951e-13,"linear_regression (continuous/count feature)",-0.371029078101357,0.201600327195355
"M1",8.29863710957379e-13,1.4795284446783e-10,"linear_regression (continuous/count feature)",-0.301724676128083,0.162125634392546
"M16",1.96551988833358e-12,2.04414068386692e-10,"linear_regression (continuous/count feature)",-0.366476732116631,0.157214197401653
"M23",8.87965465472098e-10,5.83253105741673e-08,"linear_regression (continuous/count feature)",-0.353671236746494,0.121664567655109
"M3",2.41396642873868e-08,1.03883796657444e-06,"linear_regression (continuous/count feature)",0.319287008654172,0.1019468934034
"M9",1.88231631027757e-15,5.87282688806602e-13,"linear_regression (continuous/count feature)",0.397314998261875,0.196072688036186
