"feature","p_value","q_value","method","beta","r_squared"
"CYSLTR2",9.21006976452702e-18,5.73326842841807e-15,"linear_regression (continuous/count feature)",-0.0365880322856708,0.226744006703997
"XPC",7.93199332748987e-09,5.29466167601909e-07,"linear_regression (continuous/count feature)",-0.0895688954187766,0.109702231815373
"TNFRSF14",2.92531922363537e-08,1.58348801453306e-06,"linear_regression (continuous/count feature)",0.0400362347998502,0.101789177417084
"PLAG1",5.59197166620557e-09,4.64133648295063e-07,"linear_regression (continuous/count feature)",0.0220558835352263,0.111812687751493
"PBX1",8.58084538388855e-10,1.06831525029412e-07,"linear_regression (continuous/count feature)",0.0175053993005963,0.123061219526213
"LTF",2.11823283887656e-09,1.88371420314379e-07,"linear_regression (continuous/count feature)",0.0133394580649504,0.117652705842845
"CEACAM6",5.35010242587681e-12,9.51553931459518e-10,"linear_regression (continuous/count feature)",0.0165043463938372,0.15293629024687
"OLFM4",1.17733985093353e-09,1.22149009534354e-07,"linear_regression (continuous/count feature)",0.0142693667657399,0.121171087563161
"CEACAM8",9.2717862307527e-09,5.77168692864356e-07,"linear_regression (continuous/count feature)",0.0140918685275904,0.108758733550369
"CDC42BPA",2.98133496007283e-18,3.71176202529068e-15,"linear_regression (continuous/count feature)",0.0202110817352414,0.232730386257867
"DDIT4L",1.71160633882786e-10,2.58007428236068e-08,"linear_regression (continuous/count feature)",0.0146252541246035,0.132642234581196
"IGSF10",3.28697450244477e-13,8.18456651108747e-11,"linear_regression (continuous/count feature)",-0.01536093339165,0.168967564056407
"GJA1",1.60132079453476e-09,1.53357260707368e-07,"linear_regression (continuous/count feature)",0.0144170741926561,0.119329993613212
"FGD5",1.86511393905592e-10,2.58007428236068e-08,"linear_regression (continuous/count feature)",0.0139844763422591,0.132133995805296
"CYYR1",1.02320861250148e-08,6.06616534554451e-07,"linear_regression (continuous/count feature)",0.0133325295482378,0.108162559069509
"RP11.388P9.2",2.05548267757484e-12,4.26512655596779e-10,"linear_regression (continuous/count feature)",-0.0169518824058319,0.158464375401286
"HOXB.AS3",9.51371451906426e-10,1.07677950693045e-07,"linear_regression (continuous/count feature)",-0.0123586473768564,0.122444895441639
"IL12A.AS1",8.0802065738444e-09,5.29466167601909e-07,"linear_regression (continuous/count feature)",-0.0128726941864584,0.109590355328158
"IGKV2.23",4.14990619773147e-15,1.72221107205856e-12,"linear_regression (continuous/count feature)",-0.0177287186723906,0.193537208567358
"X.TPW..Hypoxia.Adenosine.Immune.Cell.Suppression",6.15692214163817e-09,4.7908550414622e-07,"linear_regression (continuous/count feature)",0.341921030055562,0.111232021394573
"M14",7.41302922349354e-09,5.29466167601909e-07,"linear_regression (continuous/count feature)",0.227978324151101,0.110111047461606
"M9",8.64838380019202e-14,2.69180945780977e-11,"linear_regression (continuous/count feature)",0.471404407855339,0.176542801955599
"NPM1",1.22795845912009e-08,6.94912855274776e-07,"linear_regression (continuous/count feature)",-0.102533835702515,0.107058299697268
NA,NA,NA,NA,NA,NA
