"feature","p_value","q_value","method","beta","r_squared"
"AUC_.HM..DNA.repair",4.19467278328701e-06,3.59399564072031e-05,"linear_regression (continuous/count feature)",1.71850785210642,0.114882531141574
"AUC_.HM..KRAS.signaling.up",6.38762095535327e-08,9.00150268839914e-07,"linear_regression (continuous/count feature)",-1.36113612908776,0.155098164488489
"AUC_.HM..Myc.targets",3.75654455552688e-07,4.03854815697013e-06,"linear_regression (continuous/count feature)",1.38893933848133,0.138247114803799
"AUC_.IPA..TNFR1.Signaling",1.29713730815174e-05,9.58092453124494e-05,"linear_regression (continuous/count feature)",-2.37988261505396,0.103799936226251
"AUC_.TBI..Phopholipase",6.8651303695936e-11,2.53536366408095e-09,"linear_regression (continuous/count feature)",-0.998697602870959,0.217506750160414
"AUC_.TPW..Hypoxia.Adenosine.Immune.Cell.Suppression",1.23137328567523e-09,3.29700197239544e-08,"linear_regression (continuous/count feature)",-0.235835735978978,0.191664533295395
"AUC_.TPW..Immunogenic.Cell.Death..ICD.",1.83197711206525e-07,2.22959941707032e-06,"linear_regression (continuous/count feature)",-0.488035190865724,0.145109291205115
"GAS7",1.78164035875735e-08,3.40738718612343e-07,"linear_regression (continuous/count feature)",-0.0324113566584547,0.167073663813643
"WAS",5.63674820512129e-08,8.18850059254973e-07,"linear_regression (continuous/count feature)",-0.0621247874552686,0.15627737906771
"CD74",2.53185364238115e-14,1.69475953186888e-12,"linear_regression (continuous/count feature)",-0.0303782478927769,0.284417805945367
"FAS",1.6473317572504e-09,4.20069598098852e-08,"linear_regression (continuous/count feature)",-0.039133905980477,0.189017362533879
"ARID1B_x",4.2551829265257e-09,9.9850592772513e-08,"linear_regression (continuous/count feature)",0.0566503644459481,0.180332290791371
"HERPUD1",1.90982708851158e-08,3.58846458209808e-07,"linear_regression (continuous/count feature)",-0.0320617570143681,0.166425718394924
"RHOA",7.90942199904272e-06,6.09423810142069e-05,"linear_regression (continuous/count feature)",-0.0758348670494058,0.10866727288807
"PRKACA",1.53047393543534e-13,8.62703992026972e-12,"linear_regression (continuous/count feature)",-0.0625185625513338,0.269679869530333
"TFRC",1.25961889795166e-06,1.19385118558074e-05,"linear_regression (continuous/count feature)",0.0288968243756728,0.126589022107437
"FCGR2B",2.36372981177109e-22,3.12017761541537e-20,"linear_regression (continuous/count feature)",-0.0244493587606411,0.420163126807886
"PICALM",7.4533787829092e-12,3.1930274705983e-10,"linear_regression (continuous/count feature)",-0.0787427374218336,0.236867736206171
"ARHGEF10L_x",1.47059443123718e-23,2.62501105975837e-21,"linear_regression (continuous/count feature)",-0.0181426914550734,0.438247454990549
"PCM1",1.03638994422123e-06,1.00906693660085e-05,"linear_regression (continuous/count feature)",0.0687149395911576,0.128476606073544
"PTPRC",2.41732389444462e-08,4.16741194862512e-07,"linear_regression (continuous/count feature)",-0.0463683822532242,0.164224905482277
"CD209",7.3144135608185e-10,2.31113525386422e-08,"linear_regression (continuous/count feature)",-0.0143103185350611,0.196383174356109
