"feature","p_value","q_value","method","beta","r_squared"
"GAS7",2.54992605292892e-09,1.11948450164132e-07,"linear_regression (continuous/count feature)",-0.0365500458839873,0.106739619182892
"CD74",4.35546867294765e-16,4.34365310636211e-14,"linear_regression (continuous/count feature)",-0.0438694957793489,0.189471063938301
"PRKACA",4.77305092069876e-09,1.89132142732688e-07,"linear_regression (continuous/count feature)",-0.0590602825536783,0.103266113140734
"FCGR2B",5.87267844330383e-14,4.38032721535839e-12,"linear_regression (continuous/count feature)",-0.0230065458817601,0.164203907790933
"ARHGEF10L_x",5.55831145471294e-24,1.17465648742933e-21,"linear_regression (continuous/count feature)",-0.0218413511082195,0.276968896347676
"CD209",7.16178753967146e-11,4.07130938709125e-09,"linear_regression (continuous/count feature)",-0.0185728541580641,0.126328439950931
"JAK2_x",3.29937670478527e-09,1.39453655388924e-07,"linear_regression (continuous/count feature)",-0.066962240613748,0.10531324447259
"AKT2",1.29230045264112e-10,6.82765405812056e-09,"linear_regression (continuous/count feature)",0.142876973143614,0.123116525328937
"TFEB",7.0372570479146e-15,6.3737442405398e-13,"linear_regression (continuous/count feature)",-0.0425732355183854,0.175223234861997
"MYCL",8.3723225861051e-19,1.06161050391813e-16,"linear_regression (continuous/count feature)",-0.0225015092716446,0.220660202965253
"SGK1",1.80856857272391e-09,8.82024980851508e-08,"linear_regression (continuous/count feature)",-0.0215348424888584,0.108638522722394
"NOTCH2",3.47593496385907e-09,1.42176952715268e-07,"linear_regression (continuous/count feature)",-0.0518328173141334,0.105024455078084
"KLF4",4.6853981686076e-20,7.42635609724305e-18,"linear_regression (continuous/count feature)",-0.0305242960054874,0.234650965614125
"IRF4",3.67479039539253e-11,2.21887343874178e-09,"linear_regression (continuous/count feature)",-0.0260132041223547,0.129947476025346
"ARHGAP26",9.0763497864626e-13,6.05726922591294e-11,"linear_regression (continuous/count feature)",-0.0489248491024439,0.149786429547205
"MALT1",8.17969776299471e-13,5.76214264637627e-11,"linear_regression (continuous/count feature)",-0.0605780311576031,0.150338212324039
"MYD88",4.4261066186686e-14,3.50768949529486e-12,"linear_regression (continuous/count feature)",-0.0648821657573295,0.165680362878936
"RNF213",7.4353354546715e-09,2.85697132015863e-07,"linear_regression (continuous/count feature)",-0.0607540572543142,0.100803967656808
"CSF1R",1.17631461786127e-14,9.94377956965398e-13,"linear_regression (continuous/count feature)",-0.0265275070101461,0.17256724721668
"MAFB",1.6681887288582e-19,2.35029256465799e-17,"linear_regression (continuous/count feature)",-0.0215564084115498,0.228518435001155
"VCAN",2.56858253567952e-27,8.14240663810408e-25,"linear_regression (continuous/count feature)",-0.0210806756201074,0.311129134590415
"LGALS2",2.68598153346129e-30,1.1352748614763e-27,"linear_regression (continuous/count feature)",-0.0228140097786574,0.340317836740695
"PRLR",2.36672305725692e-18,2.72818621509252e-16,"linear_regression (continuous/count feature)",-0.0164515481744752,0.215557905086954
"CDC42BPA",5.70245677781397e-10,2.89228607770725e-08,"linear_regression (continuous/count feature)",0.013201742084816,0.114995217383492
"CD300E",4.07433991713646e-38,5.16626301492903e-35,"linear_regression (continuous/count feature)",-0.0247655665736497,0.411228662967204
"AC104809.4",1.89084098891568e-09,8.87994953312993e-08,"linear_regression (continuous/count feature)",-0.0125973207908482,0.108392798717067
"X.IPA..TNFR1.Signaling",2.56033521668755e-09,1.11948450164132e-07,"linear_regression (continuous/count feature)",-2.26471555796297,0.106717081509002
"X.IPA..UVA.Induced.MAPK.Signaling",7.38486718478696e-11,4.07130938709125e-09,"linear_regression (continuous/count feature)",-3.15877811334157,0.126161771257134
"X.TPW..Immunogenic.Cell.Death..ICD.",2.42770457727348e-20,4.39761343426111e-18,"linear_regression (continuous/count feature)",-0.797058643560434,0.237807844882064
"Monocyte.like",4.4532721122009e-16,4.34365310636211e-14,"linear_regression (continuous/count feature)",-0.267132930169678,0.189358259021916
"cDC.like",6.38895121922695e-31,4.05059507298989e-28,"linear_regression (continuous/count feature)",-0.566985403666295,0.346270039992714
"M1",5.52931693722294e-24,1.17465648742933e-21,"linear_regression (continuous/count feature)",-0.465172240054019,0.276992712497237
"M6",2.3364345871858e-11,1.4812995282758e-09,"linear_regression (continuous/count feature)",-0.277872666919943,0.132396429163296
