"feature","p_value","q_value","method","beta","r_squared"
"AUC_.HM..DNA.repair",3.00876664283054e-05,0.000270788997854749,"linear_regression (continuous/count feature)",1.61442922087064,0.112059381677353
"AUC_.HM..Apoptosis",1.68700806225025e-08,5.18010710879195e-07,"linear_regression (continuous/count feature)",-1.42227065759734,0.195248157764773
"AUC_.HM..Epithelial.mesenchymal.transition",2.97335212642599e-05,0.000269928662607716,"linear_regression (continuous/count feature)",-1.21416262525273,0.11219577365235
"AUC_.HM..Oxidative.phosphorylation",3.89719851391065e-08,1.04325006372377e-06,"linear_regression (continuous/count feature)",2.00737418089436,0.186272481088497
"AUC_.HM..Angiogenesis",2.10950468998733e-10,1.15911731386672e-08,"linear_regression (continuous/count feature)",-0.575818079322098,0.240799090296311
"AUC_.HM..KRAS.signaling.up",3.36650639115218e-16,1.17154422412096e-13,"linear_regression (continuous/count feature)",-1.86301325532782,0.365160337320532
"AUC_.HM..Myc.targets",7.63464298551084e-05,0.000590412390879505,"linear_regression (continuous/count feature)",1.20723829487712,0.101294084161479
"AUC_.IPA..HMGB1.Signaling",2.18174011958697e-06,3.30106765920116e-05,"linear_regression (continuous/count feature)",-1.27920065583456,0.141942669609534
"AUC_.IPA..ErbB.Signaling",2.42284005417547e-05,0.000232899063655049,"linear_regression (continuous/count feature)",-1.70501434188177,0.114552289463365
"AUC_.IPA..p38.MAPK.Signaling",3.24356477236167e-09,1.35451264893823e-07,"linear_regression (continuous/count feature)",-1.87356203939745,0.212669840834176
"AUC_.IPA..VEGF.Signaling",2.32549366320649e-06,3.46830769198225e-05,"linear_regression (continuous/count feature)",-1.49868002574777,0.141224675824495
"AUC_.IPA..UVA.Induced.MAPK.Signaling",7.71191451974008e-05,0.000592002849897694,"linear_regression (continuous/count feature)",-1.90204086374385,0.101177260198994
"AUC_.IPA..ERK5.Signaling",7.99875725104879e-06,9.5892440982049e-05,"linear_regression (continuous/count feature)",-1.06630191068518,0.127236466685521
"AUC_.IPA..Telomere.Extension.by.Telomerase",9.55117254237053e-07,1.63465969413686e-05,"linear_regression (continuous/count feature)",1.6088439144064,0.151195869648343
"AUC_.TBI..Phopholipase",4.31258694122837e-12,4.17735497361675e-10,"linear_regression (continuous/count feature)",-1.35321974451632,0.279244536796867
"AUC_.TPW..SHC1.pSTAT3.Signature",3.70358882218615e-07,7.58146417718106e-06,"linear_regression (continuous/count feature)",-0.741564397378794,0.161711004705138
"AUC_.TPW..Hypoxia.Adenosine.Immune.Cell.Suppression",3.01350503028053e-06,4.36958229390676e-05,"linear_regression (continuous/count feature)",-0.398015863535046,0.138303786103691
"AUC_.TPW..Immunogenic.Cell.Death..ICD.",2.56441979096479e-11,1.67328391360453e-09,"linear_regression (continuous/count feature)",-0.664562860090854,0.261856639477583
"WAS",3.30059649978703e-05,0.000289744493569905,"linear_regression (continuous/count feature)",-0.0431275936537614,0.110992558260704
"CD74",2.52115016707475e-06,3.70715602031836e-05,"linear_regression (continuous/count feature)",-0.0182084660618902,0.140315044564491
"FAS",2.06820801073417e-06,3.1753075929507e-05,"linear_regression (continuous/count feature)",-0.0283650411088569,0.142543635798621
"ARID1B_x",2.62186376630255e-05,0.000244395158216059,"linear_regression (continuous/count feature)",0.0370608814604295,0.113644155450989
"HERPUD1",9.18545804420668e-07,1.59826969969196e-05,"linear_regression (continuous/count feature)",-0.0244675906282146,0.15163128321162
"FGFR3",3.09138779563107e-06,4.42110802553265e-05,"linear_regression (continuous/count feature)",0.0145113369386559,0.138015813342895
"FSTL3",2.54448801398225e-05,0.000241495044236133,"linear_regression (continuous/count feature)",-0.0204610758763742,0.113988819276794
"PRKACA",6.94328842339709e-09,2.41626437134219e-07,"linear_regression (continuous/count feature)",-0.0440117394640721,0.204670113298515
"FCGR2B",2.69998254888979e-08,7.6183291379485e-07,"linear_regression (continuous/count feature)",-0.0134079293396744,0.190217410106491
"SMARCE1",3.78134327009507e-05,0.00032388675063908,"linear_regression (continuous/count feature)",0.0578776712628074,0.109424137051193
"PICALM",7.73220741586373e-09,2.60400791682637e-07,"linear_regression (continuous/count feature)",-0.0572689822642627,0.203533150608101
"ARHGEF10L_x",3.75826886854105e-09,1.47124396984244e-07,"linear_regression (continuous/count feature)",-0.0103407249933105,0.211127390013784
"N4BP2",1.55466304881918e-05,0.000165619206425227,"linear_regression (continuous/count feature)",0.0351412033733346,0.11964502608334
"PCM1",3.65204517806796e-06,5.04844058374985e-05,"linear_regression (continuous/count feature)",0.0591526890259092,0.136133071413818
"NCOA1",3.92546789043092e-06,5.06112438552443e-05,"linear_regression (continuous/count feature)",-0.0649268624250113,0.135316547292453
"HSP90AB1",1.52676997532394e-05,0.000164751363468177,"linear_regression (continuous/count feature)",0.0423246802268847,0.119852428073361
"JAK2_x",6.14741994659894e-07,1.14605471861595e-05,"linear_regression (continuous/count feature)",-0.0427406688494961,0.156099676703013
