"feature","p_value","q_value","method","beta","r_squared"
"AUC_.HM..KRAS.signaling.up",3.25546244699127e-10,6.71710418229199e-08,"linear_regression (continuous/count feature)",-1.59897753100274,0.131835718022028
"SGK1",9.44517410207762e-09,9.74427128197674e-07,"linear_regression (continuous/count feature)",-0.0161399590573434,0.111210430868505
"IRF4",5.63195315048468e-09,6.97235800030003e-07,"linear_regression (continuous/count feature)",-0.0182869321986464,0.114402332150355
"TNFRSF14",1.09661607699665e-09,1.69701337915232e-07,"linear_regression (continuous/count feature)",-0.0304284667058385,0.124443252616118
"MAML2",3.09483846273562e-08,2.91970706953247e-06,"linear_regression (continuous/count feature)",-0.0232168517289315,0.103850364352375
"MAFB",5.73138531754364e-11,2.52721164971517e-08,"linear_regression (continuous/count feature)",-0.0124664177727904,0.142317047432138
"PROM1",2.78060907044759e-10,6.71710418229199e-08,"linear_regression (continuous/count feature)",-0.00997709762064299,0.132791577647159
"VCAN",4.53225935347409e-10,8.01562439942988e-08,"linear_regression (continuous/count feature)",-0.0101074589687421,0.129826802652316
"CD300E",1.25181474108644e-18,1.54974664946501e-15,"linear_regression (continuous/count feature)",-0.0143084998137776,0.242462548130911
"X.HM..KRAS.signaling.up",1.63134179043875e-10,5.04900284140794e-08,"linear_regression (continuous/count feature)",-1.03964499858797,0.136017990828939
"X.IPA..p38.MAPK.Signaling",3.30176889930974e-08,2.91970706953247e-06,"linear_regression (continuous/count feature)",-1.79325897903682,0.103447670272752
"X.TPW..Immunogenic.Cell.Death..ICD.",3.39368864622009e-09,4.66820727113386e-07,"linear_regression (continuous/count feature)",-0.419854685793512,0.117520601022349
"Monocyte.like",6.12409931271852e-11,2.52721164971517e-08,"linear_regression (continuous/count feature)",-0.168409887585299,0.141919125797955
"cDC.like",8.94914633897683e-09,9.74427128197674e-07,"linear_regression (continuous/count feature)",-0.246527822926458,0.111543874047785
