"feature","p_value","q_value","method","beta","r_squared"
"CD74",3.57047511024463e-13,1.1122029968412e-10,"linear_regression (continuous/count feature)",-0.0333324245359347,0.165343062764499
"ARHGEF10L_x",8.66416288847805e-10,1.54222099414909e-07,"linear_regression (continuous/count feature)",-0.0117107577567196,0.12063925499065
"CIITA",9.35084288224589e-09,1.29457224791982e-06,"linear_regression (continuous/count feature)",-0.0210947488096709,0.106600928890931
"CSF1R",9.82310911227635e-11,2.44791879077927e-08,"linear_regression (continuous/count feature)",-0.0196886314541993,0.133328716997185
"VCAN",2.61917384877165e-10,5.43915102594912e-08,"linear_regression (continuous/count feature)",-0.0109092473769531,0.127631475903332
"LGALS2",8.54499409608083e-15,5.32353132185836e-12,"linear_regression (continuous/count feature)",-0.0140622711979818,0.186024233240519
"CDC42BPA",2.1615089561673e-08,2.69324015938446e-06,"linear_regression (continuous/count feature)",0.0104215559025008,0.101614849803386
"CD300E",1.37013626950595e-13,5.69063263934803e-11,"linear_regression (continuous/count feature)",-0.0130819790392901,0.17069529157009
"cDC.like",2.58772984941086e-16,3.22431139236593e-13,"linear_regression (continuous/count feature)",-0.362525138393147,0.20497026937904
"M1",2.85134835141989e-09,4.44097505733647e-07,"linear_regression (continuous/count feature)",-0.243717203541296,0.113631774360063
