"feature","p_value","q_value","method","beta","r_squared"
"AUC_.IPA..TNFR1.Signaling",2.28383456709575e-12,1.3059381297302e-10,"linear_regression (continuous/count feature)",-4.1936052352465,0.146599751934093
"AUC_.TPW..Immunogenic.Cell.Death..ICD.",6.85921900077593e-13,4.79383194609784e-11,"linear_regression (continuous/count feature)",-0.885273440610386,0.153062770091066
"GAS7",2.03862132741854e-10,7.33295776072998e-09,"linear_regression (continuous/count feature)",-0.0394787827892223,0.12208421175423
"CD74",8.46889957918382e-13,5.2479701958709e-11,"linear_regression (continuous/count feature)",-0.0427946854208294,0.151933240397999
"HERPUD1",1.03665206531612e-08,2.81438051483674e-07,"linear_regression (continuous/count feature)",-0.0465227236337035,0.100163269826705
"PRKACA",4.73641026500184e-10,1.61037949010063e-08,"linear_regression (continuous/count feature)",-0.0679144143502472,0.117417186540289
"FCGR2B",1.27511208646939e-15,1.33674250398207e-13,"linear_regression (continuous/count feature)",-0.0264486302353687,0.186132296340059
"ARHGEF10L_x",4.78586594218042e-23,1.0034365592105e-20,"linear_regression (continuous/count feature)",-0.0229071902424091,0.27002785527077
"CD209",9.76828617797636e-12,4.72634769688241e-10,"linear_regression (continuous/count feature)",-0.0206490169570312,0.138733068542324
"JAK2_x",6.70058130502835e-09,1.87318472927237e-07,"linear_regression (continuous/count feature)",-0.0709843765414126,0.1026189853328
"TFEB",5.46798424264816e-15,4.91337441232241e-13,"linear_regression (continuous/count feature)",-0.0459773726864485,0.17858242678876
"MYCL",1.62131093079122e-16,1.85419013721396e-14,"linear_regression (continuous/count feature)",-0.0224862596097338,0.196716928385689
"SGK1",3.90994619338926e-09,1.14388658401946e-07,"linear_regression (continuous/count feature)",-0.0223863234569314,0.105643259635684
"CDKN1A",3.48537724243431e-10,1.21794571416177e-08,"linear_regression (continuous/count feature)",-0.0282541202010944,0.119117505191481
"SMO",8.53425927391808e-10,2.68402454164724e-08,"linear_regression (continuous/count feature)",0.024362578624161,0.114145420257073
"CLIP1",8.72530948409358e-15,6.86027458186857e-13,"linear_regression (continuous/count feature)",-0.101808817780609,0.176145317533705
"RARA",3.59849520947113e-12,1.96822042326725e-10,"linear_regression (continuous/count feature)",-0.061309848454783,0.144145467807447
"KLF4",5.12387885412316e-22,9.20834228355277e-20,"linear_regression (continuous/count feature)",-0.0341746664849751,0.258910929512794
"IRF4",8.76052258452216e-13,5.2479701958709e-11,"linear_regression (continuous/count feature)",-0.0305067314198962,0.151751716059561
"ARHGAP26",1.43654602917624e-15,1.39013454207978e-13,"linear_regression (continuous/count feature)",-0.0581322164261639,0.185516538256955
"JAZF1",1.88354692598467e-10,7.18030919057187e-09,"linear_regression (continuous/count feature)",-0.0292197437860033,0.122521168997171
"B2M",6.60505728752866e-09,1.87318472927237e-07,"linear_regression (continuous/count feature)",-0.119110080138563,0.102699700870241
"HOOK3",2.04017107810452e-10,7.33295776072998e-09,"linear_regression (continuous/count feature)",-0.0805644576242103,0.122080013975821
"TET2_x",6.04102752104295e-10,1.99989805828211e-08,"linear_regression (continuous/count feature)",-0.0901263221830425,0.116066490648142
"MALT1",4.91012612980729e-14,3.6334933360574e-12,"linear_regression (continuous/count feature)",-0.0677237632119805,0.167077628434696
"MYD88",4.70019479460373e-12,2.3651380206446e-10,"linear_regression (continuous/count feature)",-0.0641993871241491,0.142700814220363
"CSF1R",7.52918340233424e-11,3.15723757337883e-09,"linear_regression (continuous/count feature)",-0.0244565755060694,0.127572191831176
