"feature","p_value","q_value","method","beta","r_squared"
"AUC_.HM..Hypoxia",2.63504378401994e-08,2.20555239560094e-07,"linear_regression (continuous/count feature)",1.29420137424036,0.167835563786476
"AUC_.HM..TGF.beta.signaling",6.79575120478361e-09,6.62741608319723e-08,"linear_regression (continuous/count feature)",1.10943823594351,0.180737522715887
"AUC_.HM..DNA.repair",7.367936128305e-13,3.01235234784162e-11,"linear_regression (continuous/count feature)",-1.992665777118,0.263082694394004
"AUC_.HM..Notch.signaling",2.30091768233116e-05,9.37117048397712e-05,"linear_regression (continuous/count feature)",0.624896715456143,0.100900328509778
"AUC_.HM..Hedgehog.signaling",1.30059903598002e-06,7.31500939284001e-06,"linear_regression (continuous/count feature)",0.658520677588861,0.129771577735583
"AUC_.HM..Epithelial.mesenchymal.transition",2.19329776312505e-11,5.18105671600429e-10,"linear_regression (continuous/count feature)",0.9666760199242,0.233405989553035
"AUC_.HM..Oxidative.phosphorylation",7.19772891957805e-09,6.8929602175779e-08,"linear_regression (continuous/count feature)",-2.00514155828394,0.180193927365995
"AUC_.HM..UV.response.down",4.73990513081883e-11,9.27735394230742e-10,"linear_regression (continuous/count feature)",1.34011607127949,0.226513751738933
"AUC_.HM..Angiogenesis",8.09565047871637e-16,8.6056764588755e-14,"linear_regression (continuous/count feature)",0.558501749782013,0.319419231822282
"AUC_.HM..KRAS.signaling.up",3.41758119582067e-11,7.26577762231474e-10,"linear_regression (continuous/count feature)",1.31408714959564,0.229446094981325
"AUC_.HM..Myc.targets",1.6935057681067e-09,1.97823805659057e-08,"linear_regression (continuous/count feature)",-1.41522908979415,0.193785216667299
"AUC_.HM..Estrogen.response",2.02816469228458e-07,1.38201222301186e-06,"linear_regression (continuous/count feature)",2.081746582621,0.148083207707508
"AUC_.IPA..HMGB1.Signaling",6.04088176137458e-09,6.12526952638113e-08,"linear_regression (continuous/count feature)",1.53523573219857,0.181850330340441
"AUC_.IPA..PTEN.Signaling",6.28481966559017e-09,6.24370402291808e-08,"linear_regression (continuous/count feature)",1.29344539640821,0.181476347398539
"AUC_.IPA..PI3K.AKT.Signaling",3.23069911057967e-11,7.00863909091059e-10,"linear_regression (continuous/count feature)",2.40899963396992,0.22994921036403
"AUC_.IPA..HER.2.Signaling.in.Breast.Cancer",2.81972553772236e-07,1.85022731271535e-06,"linear_regression (continuous/count feature)",1.21101048897958,0.14485839842088
"AUC_.IPA..p38.MAPK.Signaling",6.77661113112242e-10,9.20843017765479e-09,"linear_regression (continuous/count feature)",2.04142487766755,0.202284885737072
"AUC_.IPA..Myc.Mediated.Apoptosis.Signaling",5.47600863898177e-09,5.65145357595886e-08,"linear_regression (continuous/count feature)",1.38562176363315,0.182777140475714
"AUC_.IPA..VEGF.Signaling",2.02591515825647e-12,6.7298369163332e-11,"linear_regression (continuous/count feature)",1.49553097140563,0.254351448427016
"AUC_.IPA..Estrogen.Dependent.Breast.Cancer.Signaling",6.64586035639067e-10,9.17473968680946e-09,"linear_regression (continuous/count feature)",1.82999342557026,0.202464815018281
"AUC_.IPA..Telomere.Extension.by.Telomerase",1.97709780935824e-17,3.00236424478258e-15,"linear_regression (continuous/count feature)",-2.11220385477289,0.348348345129337
"AUC_.TBI..Phopholipase",1.12077339934856e-05,4.98486244145404e-05,"linear_regression (continuous/count feature)",0.563146054808577,0.108186940776513
"AUC_.TPW..SHC1.pSTAT3.Signature",1.3362863154937e-10,2.26873435677715e-09,"linear_regression (continuous/count feature)",0.796412506832092,0.217153980107673
"AUC_.TPW..Hypoxia.Adenosine.Immune.Cell.Suppression",7.24679161861398e-08,5.4633613408416e-07,"linear_regression (continuous/count feature)",0.164683477246084,0.158091988717458
"HOXA11",1.96720393859774e-10,2.9873396953277e-09,"linear_regression (continuous/count feature)",-0.00900394701524859,0.213635298734203
"CREBBP_x",8.7736823531357e-10,1.09888118611474e-08,"linear_regression (continuous/count feature)",0.0823759945766787,0.199896182308067
"ETV1",1.34459326883312e-10,2.26873435677715e-09,"linear_regression (continuous/count feature)",0.0165483697459716,0.217097706148165
"BTK",7.44537899682231e-06,3.50196366089474e-05,"linear_regression (continuous/count feature)",-0.0372639167975719,0.112313772124585
"TPR",1.0897903548271e-07,7.93456950124118e-07,"linear_regression (continuous/count feature)",-0.0771718640534876,0.154135546277552
"ARID1B_x",3.88245375937335e-10,5.57813225449406e-09,"linear_regression (continuous/count feature)",-0.0538345749577397,0.207414615209891
"PMS1",1.25683189488569e-05,5.45890964204813e-05,"linear_regression (continuous/count feature)",-0.0336896444159142,0.107028701241174
"NTHL1",6.60498622811991e-06,3.13441980379083e-05,"linear_regression (continuous/count feature)",-0.0259626132568158,0.113519844843135
"FGFR3",5.2814992269976e-06,2.5991822584715e-05,"linear_regression (continuous/count feature)",-0.0139639961483284,0.115768715078335
"CLTCL1_x",4.50160646035839e-06,2.26787093239856e-05,"linear_regression (continuous/count feature)",0.011300361446827,0.117373189491372
"FSTL3",3.1614941908082e-11,7.00139234339399e-10,"linear_regression (continuous/count feature)",0.0294540173834339,0.230142860467741
"TCF3",3.2944903709228e-08,2.69387943406995e-07,"linear_regression (continuous/count feature)",-0.0429471995755106,0.165692590328138
"PRKACA",3.63519315533236e-07,2.31103836018358e-06,"linear_regression (continuous/count feature)",0.0399691444931178,0.142365726638521
"TP63",1.25816826180789e-05,5.45890964204813e-05,"linear_regression (continuous/count feature)",-0.0103017898884995,0.107017953815653
"IGF2BP2",7.45352830228652e-09,7.07419695118801e-08,"linear_regression (continuous/count feature)",-0.0253546391050762,0.179863443779018
"NFKB2",7.35520806579846e-07,4.44237850792259e-06,"linear_regression (continuous/count feature)",0.0242220593747593,0.135420417175445
"FGFR1",3.39161623316748e-09,3.67886536311942e-08,"linear_regression (continuous/count feature)",0.01721134622805,0.187286659474907
"N4BP2",8.2372570115045e-06,3.79056459014255e-05,"linear_regression (continuous/count feature)",-0.0348793708208745,0.111295114606671
"MLLT10",7.63617874079999e-07,4.56025730419685e-06,"linear_regression (continuous/count feature)",-0.0577661775976714,0.135049751987854
"HSP90AA1",3.17017665441403e-07,2.0300589058085e-06,"linear_regression (continuous/count feature)",-0.0510404164709055,0.143709564864697
"XPO1",1.16081574099393e-10,2.02286415192877e-09,"linear_regression (continuous/count feature)",-0.0527821665873649,0.218431266800123
"KAT6A",5.47764007394432e-06,2.67097770578111e-05,"linear_regression (continuous/count feature)",0.0525469540872103,0.115402259900674
"GNAS_x",3.79667101513908e-06,1.94969144400621e-05,"linear_regression (continuous/count feature)",-0.0543223050457509,0.11908123993733
"FUS",2.77992673237509e-07,1.84671368273064e-06,"linear_regression (continuous/count feature)",-0.0536739441096478,0.144997717298139
"EZR",2.39717015763191e-06,1.28696559472865e-05,"linear_regression (continuous/count feature)",0.0307133237400795,0.123681390943177
"HSP90AB1",5.80927457699859e-10,8.12534062545987e-09,"linear_regression (continuous/count feature)",-0.056488476914779,0.203706310460058
"LZTR1",3.02963867668943e-12,8.94584975922461e-11,"linear_regression (continuous/count feature)",-0.0710159428471082,0.250850719650913
"PATZ1",3.73512191414897e-06,1.92739543433998e-05,"linear_regression (continuous/count feature)",-0.0415238170147841,0.119245036324917
"HIF1A",4.939432072519e-08,3.86074727432919e-07,"linear_regression (continuous/count feature)",0.0243743160634368,0.161794921407484
"TSC2",1.47252629464601e-08,1.27259792781195e-07,"linear_regression (continuous/count feature)",-0.10082861316964,0.173396905387796
"NBN",4.14604886157314e-06,2.11887016339051e-05,"linear_regression (continuous/count feature)",0.0552299350279891,0.118198653838527
"ARHGEF10_x",8.48982134296127e-06,3.86295992381929e-05,"linear_regression (continuous/count feature)",0.0152457434213465,0.110990594250283
"ERCC2",6.21535618080408e-08,4.71923115728196e-07,"linear_regression (continuous/count feature)",-0.0535029664222625,0.159576843746144
"TFPT",7.83344970783869e-10,1.01548256578446e-08,"linear_regression (continuous/count feature)",-0.0834995518396313,0.20094532358808
"ELL",1.83895242677972e-07,1.27765126122016e-06,"linear_regression (continuous/count feature)",0.0387107063079084,0.149039792360027
"CRTC1",4.47895174682722e-08,3.55307888572935e-07,"linear_regression (continuous/count feature)",-0.0539273583728711,0.162738126293796
"CDK6",4.36988165590761e-08,3.51907893956802e-07,"linear_regression (continuous/count feature)",-0.0233654092271455,0.162975597124681
"HOXA13",9.73528438445572e-07,5.62424309819371e-06,"linear_regression (continuous/count feature)",-0.00867003616980533,0.13264557404542
"SFRP4",1.353068837116e-07,9.71832549901557e-07,"linear_regression (continuous/count feature)",-0.013828430293873,0.152031057319088
"GATA3",1.38301944400201e-06,7.73762983670599e-06,"linear_regression (continuous/count feature)",0.0145663709309482,0.129161003440644
"CPEB3",1.95318352150942e-05,8.20645882752772e-05,"linear_regression (continuous/count feature)",0.0302649442906072,0.102563303959837
"MLLT6",3.10630788295335e-06,1.62660358599971e-05,"linear_regression (continuous/count feature)",-0.0416856142993164,0.121091015957245
"YWHAE",1.04588003349807e-13,6.17650264226914e-12,"linear_regression (continuous/count feature)",-0.0624504768137587,0.279663168990033
"CCND1",2.89476365904926e-07,1.87630107900571e-06,"linear_regression (continuous/count feature)",0.0122452094378551,0.14460094230771
"PPFIBP1",5.97172541067507e-08,4.56686626730043e-07,"linear_regression (continuous/count feature)",-0.0220498760068536,0.159963204854485
"PRPF40B",4.94963070587103e-06,2.48181954733061e-05,"linear_regression (continuous/count feature)",-0.0264168681774115,0.116420654140127
"CHD4",1.22937897316715e-09,1.47543301793788e-08,"linear_regression (continuous/count feature)",-0.0502900685879843,0.196766675372836
"DROSHA",4.29620829108765e-11,8.61673474231353e-10,"linear_regression (continuous/count feature)",-0.0623229348496754,0.227395958338656
"BCL6",1.7917840578179e-10,2.91555330576485e-09,"linear_regression (continuous/count feature)",0.0188972055410331,0.214486455940163
"SF3B1_x",6.13007909943065e-07,3.744985104997e-06,"linear_regression (continuous/count feature)",-0.0784787964893005,0.137220176534523
"STRN",8.73714053135761e-08,6.49481145792527e-07,"linear_regression (continuous/count feature)",0.0923270513806296,0.156280333070046
"SFPQ",7.81878256176148e-06,3.64095596377089e-05,"linear_regression (continuous/count feature)",-0.0378053665906163,0.111820680962489
"AKT3",3.39794579956217e-12,9.76220644576917e-11,"linear_regression (continuous/count feature)",0.0191214859861395,0.249849870803133
"SDHB",1.92682461967024e-05,8.16021741318511e-05,"linear_regression (continuous/count feature)",0.0563344113802451,0.102701126515254
"SGK1",4.68537435849253e-07,2.89567031574277e-06,"linear_regression (continuous/count feature)",0.0142812312224164,0.139869693504458
"FOXO3",9.68691997546699e-07,5.62424309819371e-06,"linear_regression (continuous/count feature)",0.0438346216839209,0.132694927433077
"SET",1.52777947154058e-08,1.30970127278035e-07,"linear_regression (continuous/count feature)",-0.0592990914856323,0.173045813390898
"CNTRL",4.13741963913831e-07,2.5871041625906e-06,"linear_regression (continuous/count feature)",-0.042927425748449,0.141093652038254
"PPP6C",1.54436740990523e-06,8.55032581629822e-06,"linear_regression (continuous/count feature)",0.0768665731560759,0.128063699090811
"CSF3R_x",1.99922291400296e-05,8.33401551994174e-05,"linear_regression (continuous/count feature)",0.0223866897571949,0.102326951354515
"KDSR",2.3398409437207e-05,9.45722784477225e-05,"linear_regression (continuous/count feature)",-0.0428674770534184,0.100729969077576
"SPOP",4.52322456058238e-08,3.56162052436968e-07,"linear_regression (continuous/count feature)",-0.058912501126236,0.16264336435483
"CEP89",1.5381249943173e-12,5.27428022244934e-11,"linear_regression (continuous/count feature)",-0.0548655701230755,0.25673884633778
"ACVR2A",6.21478193513552e-06,2.98928198961496e-05,"linear_regression (continuous/count feature)",0.0166088920872343,0.114132631881161
"FLT3_x",4.51837855785325e-13,2.0012651695825e-11,"linear_regression (continuous/count feature)",-0.021402065370993,0.267269126130741
"PMS2",8.04635826807521e-06,3.71881688650606e-05,"linear_regression (continuous/count feature)",-0.0648700566381292,0.111531498091662
"HNRNPA2B1",2.68580447053272e-09,2.99768238813031e-08,"linear_regression (continuous/count feature)",-0.081283055069318,0.189475054830421
"KIAA1549_x",6.56344098522994e-06,3.12867164452889e-05,"linear_regression (continuous/count feature)",-0.014988498423648,0.11358335487007
"SEPT6",5.83690624884699e-08,4.4961096684959e-07,"linear_regression (continuous/count feature)",-0.0311911710345773,0.160183773375914
"PTPRB",2.22847834607895e-05,9.11104800723818e-05,"linear_regression (continuous/count feature)",0.00956573455502305,0.101225144438041
"SMARCA4",5.27999762824321e-07,3.24429912070667e-06,"linear_regression (continuous/count feature)",-0.0577177612126415,0.138692613512628
"AKAP9",1.84868380111644e-05,7.86060352234712e-05,"linear_regression (continuous/count feature)",-0.0593545715521873,0.10312098502691
"HIP1",3.65244068213398e-07,2.31103836018358e-06,"linear_regression (continuous/count feature)",-0.0237469311523077,0.142319224610786
"RARA",2.01684130037299e-07,1.38201222301186e-06,"linear_regression (continuous/count feature)",0.0324460013477783,0.148137916611704
"DNAJB1",1.70243477289222e-05,7.26782395013828e-05,"linear_regression (continuous/count feature)",0.0354422553701404,0.103956452552132
"RAF1",1.24179406507946e-08,1.10926646317602e-07,"linear_regression (continuous/count feature)",0.0719088487121792,0.175019579089828
"MEN1",1.94546563924267e-07,1.3428766068279e-06,"linear_regression (continuous/count feature)",-0.0416754537381528,0.148489934853236
"IL6ST",8.82414107162179e-11,1.56334365985566e-09,"linear_regression (continuous/count feature)",0.0278741646770994,0.220913905689767
"CDC73",2.85340723059405e-07,1.86084164792728e-06,"linear_regression (continuous/count feature)",0.0892063421603174,0.144742006902546
"ACVR1B",1.32645758281255e-05,5.70860085234712e-05,"linear_regression (continuous/count feature)",0.0216643379202037,0.106483320733677
"TEC",1.23531080523492e-09,1.47543301793788e-08,"linear_regression (continuous/count feature)",-0.0304084597382166,0.19672194162351
"USP44",7.68053615568216e-06,3.5966563583657e-05,"linear_regression (continuous/count feature)",-0.00872760284282154,0.112000459673922
"NUMA1",7.91599278309087e-09,7.44663745878371e-08,"linear_regression (continuous/count feature)",-0.0736487427341645,0.179293493115004
"CYP2C8",9.59788756410507e-12,2.61603961042146e-10,"linear_regression (continuous/count feature)",-0.0188318749155631,0.240734490562893
"ATIC",7.36679295321029e-08,5.51471895018489e-07,"linear_regression (continuous/count feature)",-0.0449650715412429,0.157933026055429
"BARD1",1.17105824631295e-06,6.62146231824819e-06,"linear_regression (continuous/count feature)",0.0356554520891516,0.130813408805534
"IDH1_x",1.19198787418417e-05,5.2358806208999e-05,"linear_regression (continuous/count feature)",-0.0218556369695972,0.107564310304336
"USP8",2.17689894636367e-05,8.96916116273095e-05,"linear_regression (continuous/count feature)",0.0554945885690287,0.101462883060022
"ETV6_x",2.99477280177365e-06,1.57596212291356e-05,"linear_regression (continuous/count feature)",-0.0341324471875163,0.121456857237834
"NCOA2",5.92702822746555e-14,3.70613588576228e-12,"linear_regression (continuous/count feature)",0.0768863794727935,0.284419647169794
"POLG",4.59657441081287e-07,2.85740268929478e-06,"linear_regression (continuous/count feature)",-0.0703341022122847,0.140058084414813
"SS18",7.31925849942602e-06,3.45794301550661e-05,"linear_regression (continuous/count feature)",-0.071268506668554,0.112485880196099
"ERBB2",1.98250110378477e-05,8.29684517056383e-05,"linear_regression (continuous/count feature)",-0.0252870235070362,0.102412165003715
"SH3GL1",2.19639268635336e-07,1.48711173604689e-06,"linear_regression (continuous/count feature)",0.0536957316707759,0.147304244732684
"AKT1",6.69801686170518e-11,1.24912139017414e-09,"linear_regression (continuous/count feature)",-0.0928771644246563,0.223402514614813
"EML4",1.12442160627222e-12,4.12158678437023e-11,"linear_regression (continuous/count feature)",0.039159083976298,0.259445461995246
"ZMYM3",1.40489450693507e-08,1.23421724039007e-07,"linear_regression (continuous/count feature)",-0.0353398468933059,0.173844853286327
"NONO",2.73777314712663e-07,1.83034770779598e-06,"linear_regression (continuous/count feature)",-0.0705392363862501,0.145147451224702
"TCF7L2",2.69451902983726e-06,1.43744060374351e-05,"linear_regression (continuous/count feature)",0.0229030138556359,0.122513246926
