"feature","p_value","q_value","method","beta","r_squared"
"AUC_.HM..Hypoxia",9.5639407094242e-10,2.09747113489441e-08,"linear_regression (continuous/count feature)",1.6455212939221,0.110172556742962
"AUC_.HM..DNA.repair",3.97250009791643e-10,1.20310002965469e-08,"linear_regression (continuous/count feature)",-2.27059117768146,0.114919742292345
"AUC_.HM..Epithelial.mesenchymal.transition",2.86236677956982e-09,5.43422469195942e-08,"linear_regression (continuous/count feature)",0.983866774083491,0.104221124273765
"AUC_.HM..Oxidative.phosphorylation",8.51648530470738e-13,7.22197953839186e-11,"linear_regression (continuous/count feature)",-2.79622927799689,0.147532330257964
"AUC_.HM..UV.response.down",8.06107884007499e-10,1.83101647938846e-08,"linear_regression (continuous/count feature)",1.51809811152472,0.111097829684165
"AUC_.HM..Angiogenesis",5.11145910750058e-10,1.41342956190016e-08,"linear_regression (continuous/count feature)",0.57636662578906,0.113559774076705
"AUC_.HM..KRAS.signaling.up",5.50527205059206e-12,3.33462192778719e-10,"linear_regression (continuous/count feature)",1.71882343259912,0.137739174142638
"AUC_.HM..Myc.targets",5.24885235634547e-11,2.15372264428111e-09,"linear_regression (continuous/count feature)",-1.96550728229965,0.125776507093654
"AUC_.IPA..Telomere.Extension.by.Telomerase",5.09075138693499e-15,8.09429470522663e-13,"linear_regression (continuous/count feature)",-2.62761971706048,0.173888130704168
"AUC_.TPW..SHC1.pSTAT3.Signature",5.57142636310308e-10,1.44629680283002e-08,"linear_regression (continuous/count feature)",0.926580744943293,0.113094537704327
"AUC_.TPW..Hypoxia.Adenosine.Immune.Cell.Suppression",2.2725396241093e-11,1.07061866735816e-09,"linear_regression (continuous/count feature)",0.278226677599053,0.130234067939713
"PMS1",1.24333548925504e-09,2.68054702090239e-08,"linear_regression (continuous/count feature)",-0.0543058465006912,0.108750928324744
"FSTL3",3.46888137134139e-10,1.10310427608656e-08,"linear_regression (continuous/count feature)",0.0325852017451933,0.115650377002895
"KAT6A",5.54999309672332e-10,1.44629680283002e-08,"linear_regression (continuous/count feature)",0.0784323108843167,0.113115353036332
"HSP90AB1",1.40023604372769e-10,5.23853014006358e-09,"linear_regression (continuous/count feature)",-0.0670499750563616,0.120527065654234
"LZTR1",5.94979566034105e-10,1.48394903528506e-08,"linear_regression (continuous/count feature)",-0.0780431597222092,0.112739640612058
"CRTC1",4.40600086275437e-09,8.00633299631937e-08,"linear_regression (continuous/count feature)",-0.0683962556363606,0.101871032834588
"YWHAE",3.75918468519395e-12,2.51667522082458e-10,"linear_regression (continuous/count feature)",-0.0723983264077853,0.139749075547232
"DROSHA",3.92122497509433e-09,7.2286929975652e-08,"linear_regression (continuous/count feature)",-0.0703172742923114,0.102506608069323
"BCL6",1.6908227105215e-10,6.14493282223813e-09,"linear_regression (continuous/count feature)",0.024215662275825,0.119515197842214
"CEP89",4.50275264867472e-10,1.30011387098955e-08,"linear_regression (continuous/count feature)",-0.0589868399866287,0.114244023382908
"FLT3_x",1.23598194578159e-12,9.24805314725989e-11,"linear_regression (continuous/count feature)",-0.0269411564581023,0.145585823090052
"MEN1",2.3448029841054e-10,8.28497054383907e-09,"linear_regression (continuous/count feature)",-0.0645784395585788,0.117758346710026
"IL6ST",3.93622116825083e-10,1.20310002965469e-08,"linear_regression (continuous/count feature)",0.0358111551109745,0.114969204671362
"CYP2C8",6.89589013659003e-10,1.62436523217454e-08,"linear_regression (continuous/count feature)",-0.0216041233857825,0.111942159497198
"ATIC",1.22236802089181e-11,6.21940849029754e-10,"linear_regression (continuous/count feature)",-0.0661914502196296,0.133523564725267
"NCOA2",6.40991528820491e-10,1.54396812236017e-08,"linear_regression (continuous/count feature)",0.0650350397917514,0.11233716320375
"KDM6A",1.02651429291503e-10,4.08039431433725e-09,"linear_regression (continuous/count feature)",0.0708424777139941,0.122190915168744
"CYSLTR2",4.34758895598203e-17,1.38253328800229e-14,"linear_regression (continuous/count feature)",-0.03133995663856,0.19773248187168
"XPC",4.59945944925548e-10,1.30011387098955e-08,"linear_regression (continuous/count feature)",-0.082441807221024,0.114129379177538
"EIF4A2",5.869372436896e-10,1.48394903528506e-08,"linear_regression (continuous/count feature)",-0.0842235487320581,0.112813157264756
"TNFRSF14",3.34726295536703e-11,1.4681787859403e-09,"linear_regression (continuous/count feature)",0.0424732040204043,0.128174423501551
"SLC45A3",8.29211426515143e-10,1.85045076232853e-08,"linear_regression (continuous/count feature)",-0.0246987375081124,0.110944939807116
"PBRM1",3.11045820820972e-09,5.81838653065112e-08,"linear_regression (continuous/count feature)",-0.0737249080641429,0.103768596555204
"ATR",5.12954652931788e-12,3.26239159264617e-10,"linear_regression (continuous/count feature)",-0.0957606102761145,0.138111897983629
"PLAG1",4.34131690460568e-13,3.94439650189887e-11,"linear_regression (continuous/count feature)",0.023241749744568,0.151043906374678
"FANCF",1.90744263194396e-09,3.79104223098863e-08,"linear_regression (continuous/count feature)",-0.0517199773537792,0.106428296671329
"SEPT5",3.97489027895134e-11,1.68535347827537e-09,"linear_regression (continuous/count feature)",0.0279050943173585,0.127259051089623
