"Feature","Venetoclax","Selumetinib (AZD6244)","Trametinib (GSK1120212)","Rapamycin","Motesanib (AMG-706)","17-AAG (Tanespimycin)","Dasatinib","Cabozantinib","Elesclomol","Sorafenib"
"CD300E",0.0339091687398803,-0.0262406364836128,-0.0231305726145097,-0.0211307050504131,-0.00988520109081488,-0.0112511837954696,-0.0177574190030178,NA,-0.0117949328403891,NA
"cDC.like",0.64309880273242,-0.623341438888087,-0.576146022086871,-0.468174167644749,-0.230857113786466,-0.283383422670293,-0.410056548770159,NA,-0.236533876356724,NA
"VCAN",0.0322964991793627,-0.0263523998186538,-0.022140141007034,-0.0191757811088739,-0.00890086581706895,-0.0106848620521136,-0.0161773564045843,NA,-0.0109251051275058,NA
"ARHGEF10L_x",0.0332154695519322,-0.0313704154540883,-0.0277490001339202,-0.0228278987167538,-0.0100416982497999,-0.013558545946983,-0.0181426914550734,NA,-0.0103407249933105,NA
"LGALS2",0.0287713215309264,-0.0292592024417452,-0.0268346938438993,-0.0228740778746328,-0.0119168604469715,-0.0155444299752869,-0.0204929192611651,NA,-0.00980704251576959,NA
"M1",0.7793730669125,-0.695387283021033,-0.571365575986219,-0.47608321436537,-0.209855303026719,-0.276511391041148,-0.384999927305977,NA,-0.214043630258143,NA
"X.TPW..Immunogenic.Cell.Death..ICD.",1.59697264861886,-1.19295849176785,-0.989804203687859,-0.857936292114658,-0.361982648421501,-0.439953758317037,-0.707852355091661,NA,-0.49751657841051,NA
"ARHGAP26",0.0999597425668765,-0.0855947335824059,-0.0641168687291211,-0.0658839167124417,-0.0255889568306298,-0.0382793890711792,-0.0455847629366248,NA,-0.0234336594118514,NA
"CD74",NA,-0.0418950047442411,-0.0430273086994247,-0.0325054940170309,-0.0185431416756838,-0.0210903164978914,-0.0303782478927769,NA,-0.0182084660618902,NA
"CSF1R",NA,-0.0439697475985182,-0.0352827540355167,-0.0251232522375427,-0.0153500873519229,-0.0211852112522235,-0.0241990248316462,NA,-0.0141733744043406,NA
"FCGR2B",0.0343431737056295,-0.0377896093648718,-0.0333330757707165,-0.028767698085282,-0.0149287584802033,-0.0174775919443542,-0.0244493587606411,NA,-0.0134079293396744,NA
"KLF4",0.0420465075896148,-0.0302868825496661,-0.0244860172909573,-0.0215882799588667,-0.00831499821885212,-0.0114801462314154,-0.0156863579965174,NA,NA,NA
