"CommonFeature","Drugs"
"CD300E",8
"cDC.like",8
"VCAN",8
"ARHGEF10L_x",7
"LGALS2",7
"M1",7
"X.TPW..Immunogenic.Cell.Death..ICD.",7
"ARHGAP26",6
"CD74",6
"CSF1R",6
"FCGR2B",6
"KLF4",6
"MAFB",6
"Monocyte.like",6
"PRLR",6
"SGK1",6
"TFEB",6
"CD209",5
"CDC42BPA",5
"GAS7",5
"JAK2_x",5
"M6",5
"MALT1",5
"MYCL",5
"MYD88",5
"PRKACA",5
"X.IPA..UVA.Induced.MAPK.Signaling",5
"AKT2",4
"BCR",4
"CLIP1",4
"HOOK3",4
"IRF4",4
"M16",4
"M9",4
"NOTCH2",4
"RARA",4
"TNFRSF14",4
"X.HM..KRAS.signaling.up",4
"X.IPA..TNFR1.Signaling",4
"X.IPA..VEGF.Signaling",4
"X.TPW..Hypoxia.Adenosine.Immune.Cell.Suppression",4
"ABL1",3
"AUC_.HM..KRAS.signaling.up",3
"AUC_.TBI..Phopholipase",3
"AUC_.TPW..Hypoxia.Adenosine.Immune.Cell.Suppression",3
"AUC_.TPW..Immunogenic.Cell.Death..ICD.",3
"BCL6",3
"CCND2",3
"CDKN1A",3
"CEACAM6",3
"CEACAM8",3
"CES1",3
"COL2A1",3
"FGD5",3
"IGKV2.23",3
"IGSF10",3
"IL12A.AS1",3
"IL6ST",3
"JAZF1",3
"LTF",3
"M11",3
"M14",3
"M23",3
"M4",3
"MAP2K1",3
"MAX",3
"OLFM4",3
"PLAG1",3
"RNF213",3
"SIRPA",3
"SMO",3
"TET2_x",3
"WAS",3
"X..Monocytes.in.PB",3
"X.HM..PI3K.Akt.mTOR.signaling",3
"X.IPA..ERK.MAPK.Signaling",3
"X.IPA..p38.MAPK.Signaling",3
"XPC",3
"ZFHX3",3
"AC104809.4",2
"AFF1",2
"AKT3",2
"ARHGAP5",2
"ARID1B_x",2
"ATIC",2
"ATR",2
"AUC_.HM..Angiogenesis",2
"AUC_.HM..DNA.repair",2
"AUC_.HM..Epithelial.mesenchymal.transition",2
"AUC_.HM..Hypoxia",2
"AUC_.HM..Myc.targets",2
"AUC_.HM..Oxidative.phosphorylation",2
"AUC_.HM..UV.response.down",2
"AUC_.IPA..Telomere.Extension.by.Telomerase",2
"AUC_.IPA..TNFR1.Signaling",2
"AUC_.TPW..SHC1.pSTAT3.Signature",2
"B2M",2
"BAP1",2
"BCL7A",2
"CASP3",2
"CCNB1IP1",2
"CD177",2
"CDK6",2
"CEP89",2
"CIITA",2
"CPEB3",2
"CRISP3",2
"CRTC1",2
"CSPG4",2
"CUX1",2
"CYP2C8",2
"CYSLTR2",2
"DDIT4L",2
"DROSHA",2
"EIF4A2",2
"ERCC3",2
"EXT1",2
"FANCF",2
"FLT3_x",2
"FN1",2
"FSTL3",2
"FUBP1",2
"GATA2_x",2
"GJA1",2
"GNAS_x",2
"HERPUD1",2
"HSP90AB1",2
"IRX5",2
"KAT6A",2
"KAT6B_x",2
"KDM6A",2
"LCN2",2
"LCP1",2
"LYN",2
"LZTR1",2
"M0",2
"M21",2
"MAML2",2
"MEN1",2
"MLLT11",2
"MMP2",2
"MMP8",2
"MSI2",2
"MYO5A",2
"NCOA2",2
"NONO",2
"PATZ1",2
"PBRM1",2
"PBX1",2
"PICALM",2
"PMS1",2
"POLR2A",2
"PTK6",2
"PTPRC",2
"RAD17",2
"RP11.388P9.2",2
"RPL22",2
"SFPQ",2
"SFRP4",2
"SLC45A3",2
"SMARCB1",2
"SMARCD1",2
"SNCAIP_x",2
"SND1",2
"SPECC1",2
"STAT6",2
"TCF3",2
"TFRC",2
"TMSB4X",2
"Tsne1",2
"UBR5_x",2
"WRN",2
"X.HM..Angiogenesis",2
"X.HM..Epithelial.mesenchymal.transition",2
"X.HM..Estrogen.response",2
"X.HM..Hypoxia",2
"X.HM..UV.response.down",2
"X.IPA..ErbB.Signaling",2
"X.IPA..ErbB2.ErbB3.Signaling",2
"X.IPA..HMGB1.Signaling",2
"X.IPA..PI3K.AKT.Signaling",2
"X.IPA..PTEN.Signaling",2
"X.IPA..Telomere.Extension.by.Telomerase",2
"X.IPA..UVC.Induced.MAPK.Signaling",2
"X.TBI..Phopholipase",2
"X.TPW..SHC1.pSTAT3.Signature",2
"YWHAE",2
"ABL2",1
"AC004791.2",1
"ACSL3",1
"ACVR1B",1
"ACVR2A",1
"AKAP9",1
"AKT1",1
"ALDH2",1
"AMER1",1
"APC",1
"APOBEC3B",1
"ARHGAP35",1
"ARHGEF12",1
"ARID1A",1
"ATRX",1
"AUC_.HM..Apoptosis",1
"AUC_.HM..Estrogen.response",1
"AUC_.HM..Glycolysis",1
"AUC_.HM..Hedgehog.signaling",1
"AUC_.HM..KRAS.signaling.down",1
"AUC_.HM..Notch.signaling",1
"AUC_.HM..p53.pathway",1
"AUC_.HM..TGF.beta.signaling",1
"AUC_.HM..UV.response.up",1
"AUC_.IPA..ERK5.Signaling",1
"AUC_.IPA..HER.2.Signaling.in.Breast.Cancer",1
"AUC_.IPA..HMGB1.Signaling",1
"AUC_.IPA..Myc.Mediated.Apoptosis.Signaling",1
"AUC_.IPA..p38.MAPK.Signaling",1
"AUC_.IPA..PI3K.AKT.Signaling",1
"AUC_.IPA..PTEN.Signaling",1
"AUC_.IPA..UVA.Induced.MAPK.Signaling",1
"AUC_.IPA..UVC.Induced.MAPK.Signaling",1
"AUC_.IPA..VEGF.Signaling",1
"AUC_.TPW..PI3Kgamma.Signature",1
"BARD1",1
"BCL10",1
"BCL11A",1
"BCL2",1
"BCL3",1
"BCL9",1
"BEX1",1
"BIRC3",1
"BIRC6",1
"BRD3",1
"BTG1",1
"BTK",1
"CALR_x",1
"CANT1",1
"CASC10",1
"CBFA2T3",1
"CCL2",1
"CCND3_x",1
"CD28",1
"CDC73",1
"CDK4",1
"CDX2",1
"CHD4",1
"CHST11",1
"CLP1",1
"CLTCL1_x",1
"CNTRL",1
"CREB3L2",1
"CREBBP_x",1
"CRTC3",1
"CSF3R_x",1
"CTCF_x",1
"CXCR4",1
"CYYR1",1
"DAXX",1
"DCTN1",1
"DDR2",1
"DDX10",1
"DEFA1",1
"DEFA1B",1
"DEFA3",1
"DEFA4",1
"DGCR8",1
"DNMT3A_x",1
"DPP10",1
"DSG2",1
"EED_x",1
"EIF3E",1
"ELL",1
"EML4",1
"EP300_x",1
"EPAS1",1
"EPS15",1
"ERBB2",1
"ERCC2",1
"ETNK1",1
"ETV6_x",1
"EWSR1",1
"EXT2",1
"FAS",1
"FAT4",1
"FBXW7",1
"FGFR1OP",1
"FGFR3",1
"FGFR4",1
"FIP1L1",1
"FNBP1",1
"FOXO1",1
"FOXO3",1
"FUS",1
"GATA3",1
"GOPC",1
"GPHN",1
"H3F3B",1
"HIF1A",1
"HLA.A",1
"HNRNPA2B1",1
"HOXB.AS3",1
"HSP90AA1",1
"IDH1_x",1
"IDH2_x",1
"IKBKB",1
"IRX3",1
"KDM5C_x",1
"KDSR",1
"KEAP1",1
"KIAA1549_x",1
"KIT_x",1
"KRAS_x",1
"LYL1",1
"M3",1
"M7",1
"MDFI",1
"MDM2",1
"MED12",1
"MLLT10",1
"MLLT6",1
"MSH2_x",1
"MSH6",1
"MTOR",1
"MUTYH",1
"MYB_x",1
"MYC_x",1
"MYCN",1
"N4BP2",1
"NACA",1
"NBN",1
"NCOA1",1
"NCOR1",1
"NFATC2",1
"NFE2L2",1
"NFKB2",1
"NFKBIE",1
"NPM1",1
"NRG1",1
"NTHL1",1
"NUMA1",1
"NUTM2B",1
"P2RY8",1
"PCM1",1
"PHACTR3",1
"PHF6_x",1
"PIEZO2",1
"PIK3R1",1
"PMS2",1
"POLG",1
"POT1",1
"PPARG",1
"PPFIBP1",1
"PPP6C",1
"PRDM1",1
"PRKCB",1
"Progenitor.like",1
"PROM1",1
"Promono.like",1
"PRPF40B",1
"PTPN11_x",1
"QKI",1
"RABEP1",1
"RAF1",1
"RBM10",1
"REL",1
"RHOA",1
"RHOH",1
"RP11.114I8.4",1
"RPL10",1
"RPL5",1
"SDC4",1
"SDHAF2",1
"SDHB",1
"SEPT5",1
"SEPT6",1
"SET",1
"SETBP1_x",1
"SETDB1",1
"SF3B1_x",1
"SH2B3",1
"SH3GL1",1
"SMAD3",1
"SMAD4",1
"SMARCA4",1
"SMARCE1",1
"SPOP",1
"SRGAP3",1
"SRSF2_x",1
"SRSF3",1
"SS18",1
"STRN",1
"SYK",1
"TAF15",1
"TCF12",1
"TCF7L2",1
"TEC",1
"TERT",1
"TFE3",1
"TFPT",1
"TGFBR2",1
"THBS1",1
"TMEM127",1
"TNFAIP3",1
"TPM4",1
"TPR",1
"TRIM24",1
"TRIP11",1
"TRRAP_x",1
"TSC1",1
"TSC2",1
"Tsne2",1
"USP44",1
"USP8",1
"VAV1",1
"VTI1A",1
"WNK2",1
"WT1.AS",1
"WT1_x",1
"X..Neutrophils.in.PB",1
"X.HM..Apoptosis",1
"X.HM..DNA.repair",1
"X.HM..KRAS.signaling.down",1
"X.HM..Mitotic.spindle",1
"X.HM..Myc.targets",1
"X.HM..Notch.signaling",1
"X.HM..p53.pathway",1
"X.HM..Reactive.oxigen.species.pathway",1
"X.HM..TGF.beta.signaling",1
"X.HM..UV.response.up",1
"X.IPA..EGF.Signaling",1
"X.IPA..ERK5.Signaling",1
"X.IPA..Estrogen.Dependent.Breast.Cancer.Signaling",1
"X.IPA..HER.2.Signaling.in.Breast.Cancer",1
"X.IPA..mTOR.Signaling",1
"X.IPA..UVB.Induced.MAPK.Signaling",1
"X.TBI..MAPK.up.genes",1
"X.TPW..PI3Kgamma.Signature",1
"XPO1",1
"ZCCHC8",1
"ZMYM2",1
"ZMYM3",1
