"feature","p_value","q_value","method","beta","r_squared"
"AUC_.TBI..Phopholipase",8.20185232398044e-10,2.51056699185255e-08,"linear_regression (continuous/count feature)",-1.17035124028319,0.116125097444193
"WAS",1.13266350925961e-10,3.94859084478002e-09,"linear_regression (continuous/count feature)",-0.0950767453703942,0.127240432047044
"CD74",9.37176347276666e-17,7.35097697395135e-15,"linear_regression (continuous/count feature)",-0.0486825621611113,0.202418196444806
"PRKACA",1.68442073357769e-15,1.17441556702222e-13,"linear_regression (continuous/count feature)",-0.0858691771658823,0.187413611473147
"TFRC",5.38478005576284e-12,2.41353534642228e-10,"linear_regression (continuous/count feature)",0.0463985725919165,0.144111885268952
"FCGR2B",6.76987593917009e-19,7.72381300332587e-17,"linear_regression (continuous/count feature)",-0.0295536761035447,0.227424755815258
"ARHGEF10L_x",1.82922088058409e-32,3.82612034188839e-30,"linear_regression (continuous/count feature)",-0.0268945894995486,0.369142200853576
"PTPRC",5.84295889469629e-09,1.43782615938115e-07,"linear_regression (continuous/count feature)",-0.0596470737722232,0.104988633787327
"CD209",2.58832686526407e-17,2.32025015421887e-15,"linear_regression (continuous/count feature)",-0.0254273066433509,0.209017072161622
"JAK2_x",5.47077208897557e-15,3.43290948583217e-13,"linear_regression (continuous/count feature)",-0.0967752813650425,0.181220053204824
"ABL1",5.70243666026536e-11,2.30856709955904e-09,"linear_regression (continuous/count feature)",0.0948308689754023,0.131066042646926
"ARHGAP5",1.18260284834428e-08,2.69848468122194e-07,"linear_regression (continuous/count feature)",0.0235400285221991,0.100963138212873
"AKT2",8.0541451004211e-10,2.51056699185255e-08,"linear_regression (continuous/count feature)",0.147359788299657,0.116227654779767
"TFEB",9.24316342050925e-17,7.35097697395135e-15,"linear_regression (continuous/count feature)",-0.0496717246032499,0.202489332958357
"MYCL",1.09675249610352e-24,1.9663205465856e-22,"linear_regression (continuous/count feature)",-0.0279774561599499,0.291340555723212
"SGK1",9.71067909128972e-09,2.25683375177196e-07,"linear_regression (continuous/count feature)",-0.0221594972700286,0.102089701838851
"CCND2",8.96493350284477e-09,2.12282859359815e-07,"linear_regression (continuous/count feature)",0.0322318062184361,0.102546168839702
"MAX",4.31189032986814e-09,1.10437191101725e-07,"linear_regression (continuous/count feature)",0.0892907043763217,0.106719246651168
"SMO",3.988643944066e-09,1.04286419787559e-07,"linear_regression (continuous/count feature)",0.0233529230376142,0.107162645365699
"CLIP1",5.29868470385219e-09,1.3299698606669e-07,"linear_regression (continuous/count feature)",-0.078996608320512,0.105545805190083
"RARA",6.58030446920675e-10,2.11750823303961e-08,"linear_regression (continuous/count feature)",-0.0557483086657768,0.117367557811236
"NOTCH2",5.95812103430772e-11,2.33670059314256e-09,"linear_regression (continuous/count feature)",-0.0614727090676797,0.130821959942442
"KLF4",2.7457367261677e-20,3.44589959134046e-18,"linear_regression (continuous/count feature)",-0.0332361951964286,0.243277957088275
"COL2A1",1.23911823167289e-08,2.7439715627621e-07,"linear_regression (continuous/count feature)",0.0170444474355088,0.100696130278744
"ZFHX3",2.39802881045714e-11,1.03776764038748e-09,"linear_regression (continuous/count feature)",-0.0299190646333781,0.135874578250498
"ARHGAP26",2.38229997039372e-13,1.42370783944958e-11,"linear_regression (continuous/count feature)",-0.0550181508770249,0.161084879419837
"BAP1",2.18841711236377e-12,1.09858539040661e-10,"linear_regression (continuous/count feature)",0.169142955194801,0.149044178748809
"WRN",1.08138987529335e-12,5.90062736301374e-11,"linear_regression (continuous/count feature)",0.0862071950222339,0.152888148964021
"STAT6",2.64717452299471e-10,8.74264217462725e-09,"linear_regression (continuous/count feature)",-0.068232588912454,0.122488493553744
