"feature","p_value","q_value","method","beta","r_squared"
"AUC_.HM..Hypoxia",6.84032288091227e-17,7.12737214466484e-16,"linear_regression (continuous/count feature)",4.90057818347759,0.303818027786377
"AUC_.HM..TGF.beta.signaling",4.56269296534392e-16,4.22592277028283e-15,"linear_regression (continuous/count feature)",3.57123670193424,0.290155900339306
"AUC_.HM..DNA.repair",1.22321867452206e-29,9.5166412877816e-28,"linear_regression (continuous/count feature)",-8.98101345499929,0.485186819465887
"AUC_.HM..Apoptosis",1.37308174104644e-15,1.19581074015014e-14,"linear_regression (continuous/count feature)",5.15171292175059,0.28210637270534
"AUC_.HM..Notch.signaling",1.55670853788544e-18,2.01853207079146e-17,"linear_regression (continuous/count feature)",2.82797448202437,0.330299698857465
"AUC_.HM..Hedgehog.signaling",2.86703340645442e-08,1.08279222826288e-07,"linear_regression (continuous/count feature)",2.80114099688268,0.147831069714978
"AUC_.HM..Epithelial.mesenchymal.transition",1.55973489220742e-10,7.64794377817673e-10,"linear_regression (continuous/count feature)",3.25277424793199,0.191625476250317
"AUC_.HM..Oxidative.phosphorylation",4.2937041870792e-09,1.76434957264839e-08,"linear_regression (continuous/count feature)",-4.55611727136788,0.164010737784828
"AUC_.HM..Glycolysis",5.34225844559267e-06,1.606808145878e-05,"linear_regression (continuous/count feature)",3.68148274985469,0.101998988238097
"AUC_.HM..p53.pathway",4.50641564361962e-12,2.61641147069856e-11,"linear_regression (continuous/count feature)",4.86552478304663,0.220239857481144
"AUC_.HM..UV.response.up",3.68548519706848e-14,2.63862651839197e-13,"linear_regression (continuous/count feature)",6.68652546170162,0.257547523813369
"AUC_.HM..UV.response.down",6.53234672481324e-12,3.75529489056998e-11,"linear_regression (continuous/count feature)",4.0189275875708,0.217286501934024
"AUC_.HM..Angiogenesis",6.53657113609446e-26,2.46070274703943e-24,"linear_regression (continuous/count feature)",1.96922250412283,0.437590209293485
"AUC_.HM..KRAS.signaling.up",1.68515296105622e-37,2.80939072221801e-35,"linear_regression (continuous/count feature)",6.21576326919501,0.57287338741119
