"CommonFeature","Drugs"
"CD300E",7
"ARHGEF10L_x",6
"cDC.like",6
"LGALS2",6
"M1",6
"VCAN",6
"X.TPW..Immunogenic.Cell.Death..ICD.",6
"CDC42BPA",4
"KLF4",4
"MAFB",4
"MYCL",3
"AUC_.HM..KRAS.signaling.up",2
"CEACAM6",2
"CSF1R",2
"CYSLTR2",2
"IGKV2.23",2
"IGSF10",2
"M11",2
"M9",2
"Monocyte.like",2
"X.HM..KRAS.signaling.up",2
"AUC_.IPA..Telomere.Extension.by.Telomerase",1
"BCL6",1
"CD74",1
"CIITA",1
"CSPG4",1
"DDIT4L",1
"FGD5",1
"HOOK3",1
"IL6ST",1
"IRF4",1
"LTF",1
"M14",1
"M6",1
"MAX",1
"OLFM4",1
"PBX1",1
"PRLR",1
"PROM1",1
"RP11.388P9.2",1
"TFEB",1
"TNFRSF14",1
"X.TPW..SHC1.pSTAT3.Signature",1
