"CommonFeature","Drugs"
"M6",9
"Monocyte-like",9
"[HM] KRAS signaling up",8
"[IPA] ErbB2 ErbB3 Signaling",8
"[TPW] Immunogenic Cell Death (ICD)",8
"ARHGAP26",8
"ARHGEF10L_x",8
"BCL6",8
"CD300E",8
"cDC-like",8
"JAZF1",8
"LGALS2",8
"M1",8
"MAFB",8
"MYCL",8
"MYD88",8
"PICALM",8
"PRKACA",8
"VCAN",8
"[HM] Apoptosis",7
"[IPA] ErbB Signaling",7
"[IPA] PI3K AKT Signaling",7
"[IPA] VEGF Signaling",7
"[TBI] Phopholipase",7
"[TPW] Hypoxia/Adenosine Immune Cell Suppression",7
"AC104809.4",7
"AMER1",7
"AUC_[TBI] Phopholipase",7
"B2M",7
"BCL7A",7
"CD74",7
"CLIP1",7
"CSF1R",7
"FAS",7
"FCGR2B",7
"JAK2_x",7
"KLF4",7
"M11",7
"MAP2K1",7
"RARA",7
"SMARCB1",7
"TFEB",7
"[IPA] ERK5 Signaling",6
"ABL1",6
"ARID1B_x",6
"AUC_[TPW] Immunogenic Cell Death (ICD)",6
"BCR",6
"CD209",6
"CDK6",6
"GAS7",6
"IRF4",6
"M16",6
"MYB_x",6
"NOTCH2",6
"PATZ1",6
"PRLR",6
"SGK1",6
"SIRPA",6
"ZFHX3",6
"[IPA] HMGB1 Signaling",5
"[IPA] mTOR Signaling",5
"[IPA] UVA Induced MAPK Signaling",5
"AKT2",5
"AUC_[HM] KRAS signaling up",5
"AUC_[HM] Myc targets",5
"CCNB1IP1",5
"CES1",5
"COL2A1",5
"CPEB3",5
"EXT1",5
"FN1",5
"HOOK3",5
"HSP90AB1",5
"M9",5
"MSI2",5
"NONO",5
"TMEM127",5
