drug,correlation,r_squared
Venetoclax,0.763863764841758,0.583487851238224
Selumetinib (AZD6244),0.610698401008731,0.372952536994621
Trametinib (GSK1120212),0.589114858045343,0.347056315969784
Rapamycin,0.583275574313199,0.340210395590393
Motesanib (AMG-706),0.536827482716498,0.288183746199733
17-AAG (Tanespimycin),0.532055361730069,0.283082907945715
Dasatinib,0.526888047673763,0.277611014781469
Cabozantinib,0.525977060146156,0.276651867799993
Elesclomol,0.522963451388398,0.273490771488065
Sorafenib,0.509679458123116,0.259773150032673
KI20227,0.499022419123719,0.249023374788088
JNJ-28312141,0.480901526277453,0.231266277975984
Panobinostat,0.46779939806033,0.218836276825607
Tivozanib (AV-951),0.464155653809297,0.215440470963136
INK-128,0.460554849551372,0.212110769445287
Sunitinib,0.440063310567556,0.193655717307677
NF-kB Activation Inhibitor,0.43970017051833,0.193336239953848
Linifanib (ABT-869),0.436770380914008,0.190768365643767
Saracatinib (AZD0530),0.428089406517761,0.183260539972729
Foretinib (XL880),0.426308568841562,0.181738995867741
Axitinib (AG-013736),0.420180582881765,0.17655172223086
OTX-015,0.416627266860202,0.173578279491402
AZD1152-HQPA (AZD2811),0.410241078151486,0.168297742202894
Pelitinib (EKB-569),0.407909916529601,0.166390500003186
Entospletinib (GS-9973),0.39944764425524,0.159558420501061
KW-2449,0.398099399113905,0.158483131574852
Pazopanib (GW786034),0.394224584776162,0.155413023241938
LY-333531,0.390060632328377,0.152147296892413
PRT062607,0.389209535646078,0.151484062637835
Cediranib (AZD2171),0.388582711525719,0.15099652369668
MK-2206,0.388539841821667,0.150963208682806
SR9011,0.383910538025768,0.147387301207235
SU11274,0.379638040003773,0.144125041417906
Idelalisib,0.379436726219204,0.143972229203948
Lenalidomide,0.368038416118752,0.135452275739199
Regorafenib (BAY 73-4506),0.364077713734703,0.132552581638288
S31-201,0.359249506224016,0.129060207722199
Doramapimod (BIRB 796),0.356922110389033,0.127393392884561
Vandetanib (ZD6474),0.350205308516288,0.122643758112989
Erlotinib,0.349092508444162,0.121865579451838
AGI-6780,0.348105967251748,0.121177764436275
PHA-665752,0.343516597431044,0.118003652710602
Vargetef,0.339502301187847,0.115261812511844
MGCD-265,0.333929977949246,0.111509230173184
Lenvatinib,0.332636184113926,0.110646830981873
GW-2580,0.33023362630885,0.109054247945094
Ibrutinib (PCI-32765),0.328924093048646,0.108191058987874
Crenolanib,0.327971432033753,0.10756526023027
PD173955,0.318809303894249,0.101639372249536
RAF265 (CHIR-265),0.30841023816209,0.0951168750031974
Quizartinib (AC220),0.303725579010787,0.0922492273454376
Bosutinib (SKI-606),0.296346778238642,0.0878214129724235
GDC-0941,0.296192687060262,0.0877301078679781
PI-103,0.294076246729108,0.0864808388902791
VX-745,0.290904163227083,0.0846252321828498
AGI-5198,0.287198403848542,0.0824829231731503
BLZ945,0.284307545016998,0.080830780153591
Nilotinib,0.281533306509872,0.0792610026743814
SNS-032 (BMS-387032),0.281479233205019,0.0792305587256857
JNJ-38877605,0.270742500563824,0.0733015016115522
Tofacitinib (CP-690550),0.267700579042045,0.0716636000194457
Dovitinib (CHIR-258),0.266387370607142,0.0709622312189871
NVP-TAE684,0.264556910782675,0.0699903590428721
Vatalanib (PTK787),0.263685853830348,0.0695302295102395
CI-1040 (PD184352),0.257853667918905,0.066488514059233
BMS-754807,0.257017500572687,0.0660579956006313
KU-55933,0.255744583447235,0.0654052919625999
BEZ235,0.243141769766088,0.0591179202049854
Neratinib (HKI-272),0.233695785566624,0.0546137201916017
Crizotinib (PF-2341066),0.233310524610378,0.05443380089397
MLN8054,0.232755300570813,0.0541750299438094
Cytarabine,0.228904101817044,0.0523970878286677
SB-431542,0.216956330919295,0.0470700495259627
Midostaurin,0.216705957032697,0.046961471813457
PP242,0.214907723879317,0.0461853297829888
NVP-AEW541,0.211791886246772,0.0448558030799656
Gefitinib,0.206909611497245,0.0428115873299411
Roscovitine (CYC-202),0.206105198453739,0.0424793528296549
PH-797804,0.205517375830344,0.042237391768191
Imatinib,0.201704089862784,0.0406845398673742
GSK-1838705A,0.200030505698522,0.0400122032100066
YM-155,0.198126837737684,0.0392542438319346
Alisertib (MLN8237),0.19623894025255,0.0385097216714438
GSK-1904529A,0.195688076543414,0.0382938233012613
Tozasertib (VX-680),0.193124551088157,0.0372970922330022
DBZ,0.186565665456394,0.0348067475271869
Ralimetinib (LY2228820),0.183204502570738,0.0335638897621914
Azacytidine,0.18245985086713,0.0332915971784552
Palbociclib,0.180366104087331,0.032531931503642
Masitinib (AB-1010),0.17946156455357,0.0322064531520153
Canertinib (CI-1033),0.179287376482661,0.032143963366035
AZD1480,0.174720431558153,0.0305272292038674
Bortezomib (Velcade),0.173472382284093,0.0300926674153184
Gilteritinib,0.172510168868296,0.029759758362968
Etomoxir,0.169824891074294,0.0288404936283958
AT7519,0.168101592431484,0.0282581453780009
JQ1,0.167123169437698,0.0279301537629015
Lapatinib,0.164224973590503,0.0269698419508017
NVP-ADW742,0.16404581907482,0.0269110307559286
TG100-115,0.163939146421616,0.0268760437294489
GSK-2879552,0.161099743270671,0.0259531272818761
CYT387,0.159975970190309,0.0255923110383309
Volasertib (BI-6727),0.158809292166824,0.0252203912785276
GSK690693,0.155383930990113,0.0241441660099402
STO609,0.150636497336416,0.022691354329784
Flavopiridol,0.14253242486574,0.0203154921381077
XMD 8-87,Dec-99,0.0198426081920843
Artemisinin,0.140512508516254,0.0197437650495302
H-89,0.127752168462687,0.0163206165469188
Bay 11-7085,Dec-99,0.0143604981997804
Nutlin 3a,0.112887839877276,0.0127436643921574
SGX-523,0.110509093178578,0.0122122596751515
Entrectinib,0.0997364564162349,0.00994736073846752
JNJ-7706621,0.0993648055894223,0.00987336458982362
Ruxolitinib (INCB018424),0.0942543550935513,0.00888388345410127
Metformin,0.094245752383212,0.0088822618422777
JAK Inhibitor I,0.0892501895174586,0.00796559632890226
A-674563,0.0846725859416507,0.00716944681004622
Olaparib,0.0765434926278137,0.00585890626366413
Vemurafenib (PLX-4032),0.0743816925843592,0.005532636191714
MLN120B,0.0670037656049176,0.00448950460523883
BMS-345541,0.0338465083573159,0.00114558612798188
