"feature","p"
"%.Basophils.in.PB",0.93775910361682
"%.Blasts.in.BM",0.0128979914338229
"%.Blasts.in.PB",0.0294727919093019
"%.Eosinophils.in.PB",0.930903221617264
"%.Immature.Granulocytes.in.PB",0.517069394851847
"%.Lymphocytes.in.PB",0.365358871464642
"%.Monocytes.in.PB",0.61980589225281
"%.Neutrophils.in.PB",0.653367709764842
"%.Nucleated.RBCs.in.PB",0.922493838609793
"ALT",0.291777169084417
"AST",0.215519801953924
"albumin",0.00160573629012972
"creatinine",0.349635667764204
"hematocrit",0.0590633750733004
"hemoglobin",0.0812326680591771
"LDH",0.0405964592835546
"MCV",0.188489607365704
"otherCytogenetics",9.95397482061804e-19
"plateletCount",0.326323622192288
"totalProtein",0.108338412485894
"wbcCount",0.048076696477774
"FLT3-ITD",0.508633937732657
