"feature","p"
"manuscript_dnaseq",0.000346422527416316
"manuscript_rnaseq",0.00833522816177245
"manuscript_inhibitor",0.00668884947753815
"consensus_sex",0.518334793414767
"inferred_sex",0.58024197580242
"reportedRace",0.0003999600039996
"reportedEthnicity",0.0044995500449955
"inferred_ethnicity",NA
"centerID",0.287768338089365
"CEBPA_Biallelic",0.301069893010699
"consensusAMLFusions",0.0250974902509749
"ageAtDiagnosis",0.4681145223419
"isRelapse",9.99900009999e-05
"isDenovo",9.99900009999e-05
"isTransformed",9.99900009999e-05
"specificDxAtAcquisition_MDSMPN",0.718767604517769
"nonAML_MDSMPN_specificDxAtAcquisition",1.44473098254482e-11
"priorMalignancyNonMyeloid",0.113128343478873
"priorMalignancyType",0.783321667833217
"cumulativeChemo",0.000200004756581775
"priorMalignancyRadiationTx",0.163775702926254
"priorMDS",0.999999999999999
"priorMDSMoreThanTwoMths",0.828454475685828
"priorMDSMPN",0.729608860278478
"priorMDSMPNMoreThanTwoMths",0.558285157549719
"priorMPN",0.394371276277837
"priorMPNMoreThanTwoMths",0.476471272246591
"dxAtInclusion",0.363263673632637
"specificDxAtInclusion",0.0010998900109989
"ELN2017",0.241775822417758
"dxAtSpecimenAcquisition",0.514048595140486
"specificDxAtAcquisition",0.0035996400359964
"ageAtSpecimenAcquisition",0.355337254113401
"timeOfSampleCollectionRelativeToInclusion",0.126187760668834
"specimenGroups",9.99900009999e-05
"diseaseStageAtSpecimenCollection",9.99900009999e-05
"specimenType",0.519004926855049
"rnaSeq",1.44473098254482e-11
"exomeSeq",0.00240100308598866
"totalDrug",1.44473098254482e-11
"analysisRnaSeq",1.44473098254482e-11
"analysisExomeSeq",0.00240100308598866
"analysisDrug",1.44473098254482e-11
"cumulativeTreatmentTypeCount",0.0142720347811713
"cumulativeTreatmentTypes",9.99900009999e-05
"cumulativeTreatmentRegimenCount",0.0017376163114813
"cumulativeTreatmentRegimens",9.99900009999e-05
"cumulativeTreatmentStageCount",0.00021015674873969
"cumulativeTreatmentStages",0.0010998900109989
"responseToInductionTx",0.750824917508249
"typeInductionTx",0.0700929907009299
"responseDurationToInductionTx",0.00478723968982089
"mostRecentTreatmentType",9.99900009999e-05
"currentRegimen",9.99900009999e-05
"currentStage",9.99900009999e-05
"mostRecentTreatmentDuration",0.299972480084549
"vitalStatus",0.000502547350590038
"overallSurvival",3.44594801986145e-06
"causeOfDeath",9.99900009999e-05
