"feature","p"
"LASP1",0.108532396014302
"HOXA11",0.783075497696097
"CREBBP.x",0.359144438157842
"ETV1",0.855968819068441
"GAS7",0.183680866709964
"CD79B",0.199363732231407
"BTK",0.321414571200087
"BRCA1",0.512188556751524
"WAS",0.921136010333675
"WWTR1",0.874956338038661
"CD74",0.108238108400037
"BIRC3",0.0767565568986634
"FAS",0.901026807677538
"BCLAF1",0.000352967647101306
"ANK1",0.271053602397805
"RABEP1",0.270521548299548
"ZCCHC8",0.122659323270574
"CUL3",0.00141480827240456
"FLT4",0.614778865463796
"CDH1",0.213742863594355
"TNC",0.000450238061995414
"CTNNA1",0.715000601109652
"PREX2",0.4982839679665
"TPR",0.627726149946286
"GOPC",0.155265657310331
"TNFRSF17",0.819922243962432
"SNX29",0.0348392756066769
"ELN",0.600249472638466
"ARID1B.x",0.848782802000058
"HERPUD1",0.0176293893759126
"POLQ.x",0.456108939780374
"PIK3CB",0.505524310691869
"THRAP3",0.759936588694958
"KMT2C",0.153761133429086
"PRDM1",0.00245075801518237
"POLD1",0.749720234657255
"CASP8",0.292073767510763
"PMS1",0.111182061010253
"NTHL1",0.101523024056599
"ERBB3",0.209936160581929
"SPEN",0.245832655444042
"MAP2K4",0.620159555984783
"SMARCD1",0.435509558993789
"GOLGA5",0.892323535357084
"FGFR2",0.371929205980818
"KLF6",0.258226159762238
"RHOA",0.593658414770263
"CBFB",3.90740526533186e-05
"FGFR3",0.401940297762079
"TFE3",0.398175853692706
"BCL3",0.00689034697644246
"CLTCL1.x",0.401254509177119
"FSTL3",0.130163916270625
"PABPC1",0.055034693999274
"TCF3",0.575412545011625
"PRKACA",0.0690484252882147
"TFRC",0.0361760049839228
"AFF4",0.0551856916106921
"SMC1A.x",0.4297752143572
"FCGR2B",0.844236555391457
"TP63",0.955650387383822
"SDHA",0.261590121614629
"SMARCE1",0.377358979640851
"KDM5A",0.49002536022117
"IGF2BP2",0.328322683993308
"MAP3K13",0.482373306205543
"PICALM",0.352458625528863
"EED.x",0.256048645267176
"ARHGEF10L.x",0.709988992159422
"MLH1",0.282797585078703
"NT5C2",0.220458029865995
"NFKB2",0.341338119577887
"FGFR1",0.644730212372557
"ARAF",0.0122658185396127
"N4BP2",0.890874271481679
"HOXA9",0.147171948116835
"MLLT10",0.112421426420322
"PCM1",0.307741821121993
"CIC",0.333336641647162
"DNM2",0.603653908966679
"KEAP1",0.000765809300923225
"HSP90AA1",0.0145159795305189
"PTPRC",0.0628462657564511
"ERC1",0.0424019284388788
"XPO1",0.364452690045215
"PALB2",0.135361501075826
"KAT6A",0.933275530918873
"CYLD",0.022134009231371
"FAT1",0.774841915134166
"NCOA1",0.0320216683060372
"BCORL1.x",0.479330663660216
"ATRX",0.453343175279964
"MECOM",0.502004079972024
"EPS15",0.44038204665819
"BAX",0.406761865444738
"GNAS.x",0.0584831317229646
"CNOT3",0.266292810064823
"GNA11",0.43013246057828
"FUS",0.197868362959214
"CD209",0.736549461146203
"FH",0.241630964439687
"ESR1",0.0414162824705818
"EZR",0.957597987650017
"MSH2.x",0.00566491804438338
"MAP3K1",0.608563947193639
"HSP90AB1",0.128831390959331
"JAK2.x",0.65154063553402
"ABL1",0.385336199122922
"LZTR1",0.00331321583316512
"SMARCB1",0.38667530047627
"MAPK1",0.00321339926067868
"PATZ1",0.221842729680756
"PDGFB",0.0272225133371437
"MYH9",0.0502922145918572
"EP300.x",0.46539485991446
"NIN",0.360747761167421
"HIF1A",0.01047602605326
"DICER1",6.96445307092691e-07
"TCL1A",0.0230208170635491
"CCNB1IP1",0.114722154361926
"TRIP11",0.441831963791013
"ARHGAP5",0.342113870176245
"NFATC2",0.227323837138507
"SALL4.x",0.575412145625368
"PTK6",0.536473128095951
"CRNKL1",0.91822535426177
